# USBR Lower Colorado Basin Annual reports: Fort Mojave Indian Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1996 5 4 7 8 10 12 13 12 10 8 6 6 100
1997 17 94 160 173 211 256 280 269 211 77 126 124 2200  # diff = -202 expected =  2200  got =  1998
1998 211 106 230 298 303 305 231 241 154 129 107 90 2406
1999 261 209 356 385 470 571 623 599 471 394 280 276 4894 
2000 64 51 87 94 115 139 152 146 115 96 68 65 1192 # Hotel and Golf Course
2000 50 163 48 619 591 660 887 927 379 457 475 0 5256 # Wells
2001 170 216 295 431 638 683 541 482 421 233 226 185 4521 
2002 183 298 340 410 439 657 534 522 435 298 260 142 4518
2003 220 205 296 385 526 628 498 452 448 317 201 171 4345
2004 165 206 282 304 372 451 493 474 372 312 221 218 3870 
2005 98 157 309 536 741 786 726 675 574 311 331 138 5382 
2006 99 331 283 528 590 842 655 807 314 377 99 99 5024 
2007 114 424 338 597 658 308 239 294 550 197 393 159 4271 
2008 207 353 385 785 883 950 635 544 451 182 131 122 5628 
2009 79 52 784 390 441 857 825 735 268 216 133 75 4855
2010 76 346 352 134 283 744 935 847 76 226 130 82 4231 
2011 84 262 359 158 566 906 982 670 114 249 229 159 4738 
2012 188 247 202 313 545 616 629 586 736 217 321 70 4670 
2013 102 319 373 370 664 804 633 797 404 411 142 93 5112 
2014 104 184 509 434 458 410 584 299 69 535 105 182 3873 
2015 211 337 442 547 465 452 432 584 385 381 294 153 4683 
2016 175 217 565 331 589 629 637 628 417 430 221 159 4998 
2017 31 64 189 153 468 355 477 521 202 109 97 0 2666
2017 64 86 135 155 151 293 205 271 144 208 146 119 1977
2018 95 188 252 242 435 442 212 525 336 166 138 0 3031
2018 90 147 135 167 158 217 239 229 184 214 173 115 2068
2019 50 49 158 350 469 467 226 475 389 92 0 0 2725
2019 80 80 143 156 209 174 232 309 155 160 60 27 1785
2020 0 118 0 247 614 472 294 396 466 96 51 8 2762
2020 26 27 28 67 113 129 145 144 220 132 95 71 1197
2021 18 202 146 398 547 543 336 547 433 291 85 73 3619
2021 73 21 49 131 106 44 83 77 90 61 109 73 917
