# USBR Lower Colorado Basin Annual reports: Lake Mead Nat Consumptive Use
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 16 17 25 28 44 59 66 69 53 52 30 20 479  # Mostly Diversion Data
1965 14 20 26 23 33 57 73 65 48 43 22 14 438
1966 19 20 26 36 41 53 61 67 50 35 28 13 449
1967 22 23 36 39 58 65 76 70 57 51 35 21 553
1968 25 29 43 46 71 78 96 99 83 56 34 23 683
1969 22 18 34 51 72 77 86 84 72 69 46 52 683
1970 23 23 30 38 88 108 86 103 72 58 45 37 711
1971 48 48 57 56 68 81 94 91 81 74 47 52 797
1972 43 44 63 64 91 101 117 130 99 72 40 34 898
1973 35 31 32 64 81 100 117 112 83 72 57 40 824
1974 32 32 49 59 95 121 112 110 88 52 31 27 808
1975 33 33 35 40 62 114 128 122 91 76 47 43 824
1976 36 25 42 52 70 86 115 113 83 49 38 44 753
1976 3 2 4 4 7 13 11 7 5 3 4 2 66
1977 37 45 44 58 68 90 109 115 92 65 59 55 837
1977 2 2 3 5 3 7 10 9 4 5 3 2 55
1978 36 37 48 48 70 93 116 120 89 86 54 36 833
1978 1 2 2 5 5 9 9 7 6 5 4 2 57
1979 31 27 43 88 84 99 111 103 93 86 72 53 890
1979 1 1 2 6 7 10 10 6 7 5 4 3 62
1980 57 36 80 77 98 132 115 133 98 100 78 74 1078
1981 100 78 97 99 126 105 125 112 85 64 57 50 1098
1981 4 4 4 6 6 10 12 10 7 6 3 4 76
1982 41 36 47 65 94 101 141 106 125 82 66 66 970
1982 5 3 5 8 8 7 13 10 5 3 2 1 70
1983 54 46 51 54 94 137 133 119 121 84 83 76 1052
1983 2 2 2 4 9 10 9 7 6 4 2 2 59
1984 62 49 70 79 93 104 109 94 106 103 79 57 1005 
1985 56 53 73 82 99 93 104 96 90 74 57 46 923
1986 46 42 59 67 80 89 95 102 79 72 57 45 833 
1987 55 54 43 61 82 84 102 95 91 75 50 48 840 
1988 42 38 54 54 71 86 111 87 75 78 60 44 800
1989 43 44 64 86 96 124 129 122 119 96 71 61 1055
1990 53 40 57 72 86 98 105 88 76 64 43 51 833
1991 72 43 39 48 61 65 79 80 70 70 41 51 719 
1992 64 56 54 77 100 108 124 90 75 69 43 46 906
1993 41 31 42 60 83 87 100 74 94 81 59 48 800 
1994 45 37 48 75 69 88 101 103 91 66 54 47 824 
1995 34 32 38 56 74 94 106 110 104 100 81 56 885
1996 51 49 69 78 96 107 113 115 101 84 70 52 985
1997 76 82 92 91 105 115 43 57 63 60 45 45 874 
1998 43 35 42 45 50 53 58 58 48 48 40 32 552 
1999 56 58 63 54 82 87 86 101 91 83 98 37 896 
2000 62 49 66 95 63 85 87 101 80 60 52 51 851
2001 33 26 30 42 217 88 53 53 40 49 41 36 706 
2002 64 58 58 54 65 92 102 106 94 76 53 47 869 
2003 51 47 56 63 78 86 111 105 85 83 57 30 850 
2004 42 34 38 56 59 79 78 76 70 57 43 16 648 
2005 38 36 44 55 68 75 92 92 92 73 62 60 787 
2006 58 58 68 73 98 89 67 105 89 71 52 54 882 
2007 40 36 35 36 53 54 65 72 66 58 55 39 609 
2008 49 31 51 48 50 52 60 59 54 46 36 31 567
2009 32 27 37 36 52 49 59 60 56 40 48 35 531
2010 26 25 28 33 36 49 58 58 51 33 30 29 456 
2011 26 25 29 38 41 43 52 44 41 36 29 27 431
2012 27 28 30 31 38 41 48 50 43 40 26 25 427
2013 24 23 27 32 42 47 49 51 40 30 29 28 422 
2014 33 28 32 35 40 37 46 34 35 30 23 30 403 
2015 19 19 31 31 35 44 49 46 32 26 21 19 372 
2016 21 23 24 26 31 39 43 39 34 29 20 19 348 
2017 18 19 27 24 28 36 43 37 34 28 21 20 335 
2018 17 17 24 27 28 31 33 34 32 24 20 17 304 
2019 15 17 16 24 24 29 32 34 24 28 22 17 282 
2020 19 18 25 21 31 36 43 43 40 37 28 24 365 
2021 25 23 24 26 26 30 31 33 32 28 30 30 338 
