# USBR Lower Colorado Basin Annual reports: Pumped from Lake Mohave Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1993 16 17 21 13 26 36 43 42 39 34 21 21 329
1994 22 16 27 29 35 39 57 12 45 36 20 17 355
1995 12 14 16 23 24 33 40 68 54 34 25 19 362
1996 25 23 19 20 21 16 24 21 28 16 12 24 249
1997 18 22 23 25 41 31 37 39 31 31 26 21 345
1998 20 19 19 17 24 41 33 35 30 28 23 23 312
1999 25 17 27 23 27 23 40 31 27 29 22 17 308
2000 17 18 17 17 22 24 33 34 27 29 21 19 278
2001 16 32 14 17 19 17 31 31 24 41 43 22 308
2002 22 23 23 27 27 29 25 35 30 26 21 23 310
2003 19 17 20 24 18 21 25 32 20 25 22 15 257
2004 12 12 16 21 24 27 28 25 22 20 16 14 237
2005 12 11 13 15 18 21 23 22 21 21 15 15 207
2006 15 15 19 22 23 24 0 30 28 25 18 18 237
2007 17 15 17 17 20 20 17 33 30 27 26 20 259
2008 16 18 21 18 21 10 26 20 17 15 14 13 209
2009 13 12 14 16 21 18 21 18 14 13 12 9 181
2010 11 8 9 9 14 15 18 18 18 14 15 13 162
2011 13 10 13 12 16 21 18 16 25 19 13 13 189
2012 10 12 10 11 14 17 15 15 13 13 13 8 151
2013 11 10 11 10 16 18 22 17 14 15 12 10 166
2014 11 11 12 11 13 14 16 15 13 12 13 11 152
2015 14 13 15 13 13 16 18 19 19 13 11 13 177 
2016 12 12 12 11 12 15 18 16 15 14 13 13 163 
2017 10 9 11 11 12 15 17 15 13 13 12 13 151 
2018 13 12 13 13 13 13 12 14 14 11 9 11 148 
2019 11 12 15 14 14 15 18 14 13 11 10 12 159 
2020 12 10 12 15 17 13 15 16 19 14 14 17 174 
2021 17 17 19 18 17 15 15 15 14 15 16 14 192 
