# USBR Lower Colorado Basin Annual reports: Las Vegas Valley Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 0 0 0 0 769 1363 1711 1330 697 9 0 0 5879
1965 0 0 0 0 0 87 813 1432 1264 0 0 0 3596
1966 0 0 0 0 151 1120 1440 1451 1117 56 0 0 5335
1967 0 0 0 0 120 822 1682 1172 811 0 0 0 4607
1968 0 0 0 0 604 1171 1591 1429 1409 698 72 0 6874 # checked, diff = 100 expected =  6874  got =  6974
1969 0 0 0 0 139 1021 1450 1648 1272 1389 1371 1420 9710
1970 1253 1302 1429 1342 1453 1352 1660 1389 1152 959 62 0 13353  # 1660 is circled with Basic, maybe swapped
1971 0 0 0 0 314 961 1251 1324 1259 1011 0 0 6120
1971 0 0 0 0 0 1478 2944 2287 2074 1562 2337 1862 14544
1972 1459 1495 2695 2854 4489 5325 5617 4979 4384 3711 2698 2979 42686
1973 3033 2502 2865 3751 3977 5064 6411 5908 4925 4548 3601 3106 49691
1974 3047 3308 3692 4304 5640 6349 6172 5688 4417 3026 2114 1842 49599
1975 3255 2220 3592 3918 4992 6414 6518 6396 5471 4729 4258 3372 55135
1976 3422 3152 4074 4494 5745 7063 7038 7007 5926 4506 4007 3478 59912
1977 3283 3506 4676 5160 5300 6599 7716 7046 5611 5552 4407 2718 61573
1978 2846 2940 3750 4765 6432 7885 8268 8082 7224 7017 5227 3388 67824
1979 3510 3056 3606 5567 6888 7625 9270 9063 9623 8857 7235 5863 80163
1980 5337 4657 4109 7105 8641 9110 9814 10043 8781 9131 7521 7290 91539
1981 7172 6486 7524 8753 9320 10477 11643 9941 9842 9264 8205 6392 105010  # checked, diff = 9 expected =  105010  got =  105019
1982 6938 6310 7659 8711 9918 10339 10795 10548 9406 8611 7442 6984 103661
1983 5994 6223 7507 8626 11014 12587 13159 10014 10330 8319 5980 4957 104710
