# USBR Lower Colorado Basin Annual reports:  fish  Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1973 0 0 0 0 0 1 1 0 0 2 1 1 6
1974 0 0 0 0 1 1 1 0 1 0 1 1 7
1975 0 0 0 1 0 0 1 1 1 1 0 1 6
1976 1 1 0 0 0 0 0 0 0 0 1 1 4
1977 0 0 1 0 1 1 1 1 0 0 0 0 5
1978 0 1 1 0 0 0 1 1 1 0 1 0 6
1979 0 1 0 1 0 0 1 1 1 0 1 0 6 
1980 0 1 0 1 1 0 0 0 1 0 1 0 5
1981 0 0 1 1 0 0 1 1 0 0 0 1 5
1982 0 0 0 0 0 1 1 1 0 0 1 0 4
1983 0 0 0 0 0 1 1 1 0 0 1 0 4
1984 0 0 1 0 0 1 1 0 1 0 0 0 4
1985 0 0 1 0 0 1 0 0 1 0 0 1 4 
1986 1 0 0 1 0 1 1 0 0 0 0 1 5 
1987 1 1 0 1 0 0 1 1 1 0 0 0 6
1988 0 0 0 0 1 0 0 1 0 0 0 1 3
1989 0 0 1 0 0 1 0 0 1 0 1 0 4
1990 0 0 1 0 1 0 1 0 1 0 0 0 4
1991 0 0 0 0 1 1 0 0 0 0 0 0 2 
1992 0 0 0 0 0 0 0 0 0 0 0 0 0 
1993 0 0 0 0 0 0 0 0 0 0 0 0 0 
1994 0 0 0 1 0 0 0 0 0 0 0 0 1 
1995 0 0 0 1 0 1 1 0 0 1 0 0 4 
1996 1 0 1 2 1 2 2 3 2 2 1 2 19 
1997 1 2 1 1 2 1 1 2 1 2 1 1 16 
1998 1 1 1 2 1 1 2 1 1 1 0 1 13 
1999 1 1 1 1 1 1 1 1 1 1 1 1 12 
2000 1 1 1 1 1 1 1 1 1 1 1 1 12
2001 1 1 1 1 1 1 1 1 1 1 1 1 12 
2002 1 1 1 1 1 1 1 1 1 1 1 1 12 
2003 1 1 1 1 1 1 1 1 1 1 1 1 12 
2004 1 1 1 1 1 1 1 1 1 1 0 1 11 
2005 1 0 0 1 1 1 1 1 1 1 1 1 10 
2006 1 1 1 1 1 1 1 1 1 1 1 1 12 
2007 1 1 1 1 1 1 1 0 0 1 1 1 10
2008 1 1 1 0 1 0 1 1 0 1 1 1 9
2009 1 1 1 0 1 0 1 1 0 1 1 1 9
2010 1 1 1 0 1 0 1 1 1 1 1 1 10 
2011 1 1 1 1 1 1 1 1 1 1 1 1 12 
2012 1 1 1 0 1 1 1 1 0 1 1 1 10 
2013 1 1 1 0 1 0 1 1 0 1 1 1 9 
2014 1 1 1 0 1 1 1 1 0 1 1 1 10 
2015 1 1 1 0 1 1 1 1 1 1 1 1 11
2016 1 1 1 0 1 0 1 1 0 1 1 1 9
2017 1 1 1 0 1 0 1 1 0 1 1 1 9
2018 1 1 1 0 1 0 1 1 1 1 1 1 10
2019 1 1 1 1 1 1 1 1 1 1 1 1 12
2020 1 1 1 1 1 1 1 1 1 1 1 1 12
2021 1 1 1 1 1 1 1 1 1 1 1 1 12
