# USBR Lower Colorado Basin Annual reports:  fish  Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1973 0 0 0 0 112 231 264 262 242 290 278 315 1994
1974 328 297 319 314 335 344 341 342 321 338 336 355 3970
1975 370 303 344 256 279 259 290 269 291 398 343 368 3770
1976 340 347 360 305 275 250 283 318 325 328 332 354 3817
1977 355 321 417 354 344 331 342 348 346 376 350 360 4244
1978 369 331 365 357 352 324 344 368 371 367 357 379 4284
1979 390 346 383 338 383 357 359 356 346 348 364 375 4345
1980 362 339 356 337 360 347 353 348 337 335 333 351 4158
1981 351 312 280 146 164 205 241 345 369 366 357 376 3512
1982 375 340 376 358 355 350 349 380 377 389 385 383 4417 
1983 375 340 376 358 355 350 349 380 377 389 385 383 4417
1984 375 340 376 358 355 350 349 380 377 389 385 383 4417 
1985 408 367 411 398 396 364 369 362 342 390 394 407 4608 
1986 383 361 375 344 325 318 351 373 373 376 377 390 4346 
1987 390 352 385 341 348 350 362 364 351 381 364 376 4364 
1988 373 346 376 360 376 352 341 369 365 383 359 376 4376 
1989 375 342 376 326 315 301 319 296 299 338 331 341 3959 
1990 341 311 344 334 342 337 362 354 344 355 337 348 4109
1991 355 320 345 284 265 273 320 315 327 351 337 326 3818 
1992 342 313 344 335 348 337 355 363 354 376 431 437 4335 
1993 347 347 380 364 376 364 376 369 365 376 366 376 4406 
1994 369 333 369 359 372 359 410 433 422 438 415 427 4706 
1995 412 380 374 328 339 354 475 458 442 457 428 442 4889 
1996 445 408 393 410 479 469 468 473 459 471 453 467 5395 
1997 468 382 411 419 472 461 476 476 467 469 451 456 5408 
1998 458 402 467 455 474 458 466 472 457 471 460 463 5503
1999 477 403 463 452 469 460 474 473 445 459 426 423 5424 
2000 431 403 430 420 433 423 443 432 453 551 537 570 5526
2001 546 459 473 447 479 462 508 566 547 562 532 541 6122 
2002 535 410 459 441 486 547 560 560 591 610 563 626 6388 
2003 476 408 359 204 189 129 129 66 63 64 68 67 2222 
2004 77 58 71 66 65 63 67 2 3 2 0 2 476 
2005 1 0 1 8 29 95 222 362 473 466 460 445 2562 
2006 475 417 432 465 504 507 464 511 478 449 454 468 5624 
2007 455 355 287 105 89 32 5 0 0 8 8 4 1348 
2008 4 3 2 5 5 5 6 6 6 6 6 4 58 
2009 5 3 4 4 4 5 6 6 6 6 6 6 61 
2010 6 8 13 18 27 26 27 32 10 20 22 25 234 
2011 26 23 26 25 20 15 15 12 13 16 17 12 220 
2012 13 12 24 17 16 16 24 25 23 24 25 25 244 
2013 25 25 25 33 33 33 33 33 33 30 30 30 363 
2014 30 62 31 35 32 30 30 30 32 33 30 30 405 
2015 32 34 43 47 47 49 49 50 49 49 51 51 551
2016 50 48 47 47 51 51 56 55 55 53 55 54 622
2017 52 51 41 41 41 47 46 33 34 39 35 35 495
2018 35 38 90 54 55 70 56 70 70 70 73 77 758
2019 71 64 58 52 58 66 59 65 88 98 86 99 864
2020 69 65 71 81 93 160 118 124 112 108 75 88 1164
2021 76 71 73 71 77 88 104 111 98 107 97 95 1068
