# USBR Lower Colorado Basin Annual reports: North Las Vegas Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1971 0 0 0 0 0 0 122 118 85 104 24 1 454
1972 0 28 63 45 76 163 239 291 196 94 69 20 1284
1973 27 33 36 136 359 290 384 353 279 306 201 0 2404
1974 10 268 339 174 203 322 413 557 523 271 184 98 3362
1975 151 108 265 422 757 1055 1033 969 747 466 249 146 6370
1976 185 190 402 553 949 964 816 763 563 466 376 319 6546
1977 271 443 545 712 606 770 880 720 609 465 344 133 6498
1978 152 171 266 422 870 897 834 877 695 599 262 104 6149
1979 66 130 315 653 999 1360 1338 1023 986 733 324 359 8286
1980 286 285 386 602 763 925 981 1117 781 615 271 122 7134
1981 316 268 333 557 779 1218 1446 1076 911 490 475 297 8166
1982 239 246 501 695 1028 1253 1263 1200 861 663 413 156 8518
1983 467 330 455 448 672 798 1306 965 1135 814 634 710 8734
