# USBR Lower Colorado Basin Annual reports: Pacific Coast Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 18 16 17 14 14 8 33 30 24 23 24 40 261   # Starts as Fiberboard
1965 13 16 23 23 25 22 16 24 21 20 16 10 229
1966 14 15 17 23 21 21 39 31 32 22 20 11 266
1967 12 13 15 18 21 24 23 26 28 20 17 14 231  # Fiberboard ends here
1968 26 30 27 29 34 36 38 37 30 34 23 34 378  # Johns Manville starts here
1969 28 23 30 30 38 37 36 37 43 35 29 36 402
1970 32 24 33 32 31 39 38 37 36 39 30 24 395
1971 33 34 29 31 32 32 46 39 40 41 32 22 411
1972 40 38 45 39 36 34 43 36 36 46 24 30 447
1973 35 44 34 37 47 42 40 37 41 35 36 32 460
1974 40 33 41 37 34 41 40 41 41 40 37 25 450
1975 23 28 30 16 35 33 30 41 36 34 41 38 385
1976 25 28 40 28 35 45 38 35 33 36 42 37 422
1977 39 34 33 35 37 31 34 38 44 43 43 47 458  # Johns-Manville ends here
1978 44 45 39 44 43 45 38 45 45 40 43 28 499  # Pacific Coast Building Products starts
1979 40 47 51 50 52 56 48 31 48 42 45 53 563
1980 49 38 39 54 45 41 39 50 46 50 39 52 542
1981 50 45 45 50 51 48 56 44 46 47 23 22 527
1982 26 44 48 48 46 48 48 52 50 48 48 53 559
1983 46 45 49 51 48 47 28 55 53 47 67 74 610
1984 68 65 66 66 68 45 29 0 56 51 51 51 616
1985 53 47 29 57 22 57 12 65 53 58 58 48 559 
1986 52 43 52 54 53 51 50 47 50 55 44 45 596 
1987 39 36 40 46 55 56 53 50 56 57 22 62 572 
1988 59 71 75 65 71 68 65 71 73 70 70 66 824
1989 69 62 49 70 70 70 70 70 70 68 61 54 783 
1990 64 54 52 54 54 48 51 64 37 28 20 38 564
1991 37 37 76 33 65 68 71 66 42 35 39 30 599 
1992 29 25 30 34 39 48 52 50 65 55 55 47 529 
1993 29 44 53 43 49 65 55 49 59 57 40 51 594 
1994 57 42 82 57 71 52 67 59 70 66 68 57 748 
1995 59 47 54 50 56 59 55 68 65 64 67 54 698 
1996 61 58 59 60 64 65 65 66 64 66 51 53 732
1997 67 58 53 66 62 62 63 61 58 57 59 59 725 
1998 55 61 44 64 57 57 57 31 76 51 40 58 651 
1999 60 57 65 63 62 70 59 66 65 71 71 67 776 
2000 60 61 58 70 62 67 71 84 72 58 53 60 776
2001 48 55 64 62 71 64 80 82 82 68 69 53 798
2002 48 62 58 84 70 82 81 80 70 76 65 61 837 
2003 71 82 48 95 73 79 84 61 54 82 66 74 869 
2004 77 63 83 79 61 82 75 85 75 53 73 86 892 
2005 82 80 87 83 76 70 79 78 73 87 67 58 920 
2006 90 83 84 84 82 74 78 77 70 65 61 66 914 
2007 71 72 72 70 78 74 70 60 60 72 73 50 822 
2008 66 70 78 87 80 59 89 93 91 76 42 45 876 
2009 73 66 69 50 60 60 41 48 71 62 42 36 678
2010 82 58 49 52 52 43 39 44 52 39 40 36 586 
2011 37 35 51 42 49 52 53 66 57 52 57 56 607 
2012 57 66 53 57 73 59 76 78 90 88 77 90 864 
2013 84 78 68 67 69 85 75 89 78 89 85 56 923 
2014 87 74 55 57 62 62 77 80 68 74 72 67 835 
2015 73 82 77 84 88 86 95 46 73 73 65 71 913 
2016 78 73 81 76 77 64 73 87 84 71 70 80 914 
2017 77 68 78 77 81 99 80 70 66 71 65 82 914 
2018 60 61 66 63 65 78 83 81 82 91 91 79 900 
2019 80 68 82 85 84 86 79 71 60 73 66 78 912 
2020 74 70 77 77 86 80 84 88 86 76 59 68 925 
2021 73 72 84 75 89 87 87 94 74 60 66 66 927 
