# USBR Lower Colorado Basin Annual reports: Griffith Water Project Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1984 7951 7535 9856 11950 16743 16540 15249 13311 13260 11682 9002 8631 141710
1985 9095 8551 10535 13006 15095 16046 17077 16963 14378 12009 8970 9032 150755  # monthly sum is 150757, 2 af high
1986 10086 8697 13027 14083 16858 16960 18131 18605 14696 11654 10366 8585 161748  # 14696 maybe 14096, 14696 totals correctly
1987 9640 9885 11813 15274 16640 17133 19704 16312 19137 13811 9129 8922 167400
1988 9777 10613 15004 15356 18752 19626 23973 21411 17701 17769 13540 12433 195955 
1989 12174 12638 18223 22437 21913 23152 27583 24960 22626 22602 16871 14891 240070 
1990 14662 14039 20351 22742 25577 23704 28299 26858 24029 25546 20381 13496 259684 
1991 16514 14880 17918 23342 25860 24790 27823 25984 21910 26368 20462 17937 263788 
1992 16172 15889 17495 22180 25646 24714 27559 27569 23581 25160 20852 17884 264701 
1993 17018 15914 20778 24282 29228 27994 30818 29561 25713 28757 23221 21836 295120 
1994 21420 18980 24563 26990 29905 30243 31788 30284 26389 29901 24769 21658 316890 
1995 18820 20150 23749 26743 27125 27767 29902 29522 28999 30537 27261 25056 315631 
1996 21882 18969 27096 30731 33304 32665 32636 32683 31978 31537 25873 23983 343337 
1997 24065 22383 29647 30165 36824 38367 34993 32205 24458 29971 28250 25858 357186 
1998 26687 20774 26588 28635 33036 31988 34865 33271 25830 34308 29603 27483 353068 
1999 28820 27320 33558 33695 39876 35169 36267 35778 32214 40899 34769 31108 409473 
2000 27816 26167 32885 41048 47021 40554 43220 42826 35929 39843 32233 25155 434697 
2001 28261 26610 31027 40457 48489 39436 44970 44849 39894 40655 30120 25571 440339 
2002 25919 23980 31767 39936 45405 44075 50464 50430 42002 39886 30040 26264 450168 
2003 29211 25480 30259 37599 38471 43816 46716 44602 38854 46947 35025 33761 450741 
2004 29504 25465 33862 36387 48734 43401 44345 41058 36256 38025 26570 29968 433575 
2005 27171 24083 31642 36824 47850 45581 50720 45425 42320 42985 34313 28373 457287 
2006 30905 28974 31962 36459 48312 46729 48361 49764 45783 42282 37435 35221 482187 
2007 30461 28472 37990 38731 47125 47795 52037 48047 39540 43187 36345 34574 484304 
2008 31819 25900 33743 37813 42749 42566 46380 48044 37473 41694 31016 25988 445185 
2009 26522 23625 33047 36014 47270 38473 44286 44213 36110 39686 30504 25632 425382 
2010 24541 21396 29345 33669 42042 40672 46930 46590 36521 39454 33284 27974 422418 
2011 26918 25321 31346 34042 39915 38084 42041 43137 34869 36486 28741 25491 406391 
2012 25863 24920 31051 33813 43531 40277 43231 40294 32425 37088 29682 25678 407853 
2013 25090 23610 31114 34521 41645 41040 44292 42315 31807 35280 26784 23760 401258 
2014 24892 23532 31547 35088 43851 41504 42967 40439 35581 37584 28860 24192 410037 
2015 23364 23059 32320 36014 40792 40193 44540 43712 40517 36781 28914 25798 416004 
2016 26034 26311 34090 33995 38079 42175 46500 45224 37607 39922 32339 26774 429050 
2017 25972 23751 33727 36694 45181 43813 47268 45125 37909 40545 32533 30032 442550 
2018 28110 26703 32705 37387 45536 44467 46911 46816 41978 40851 32363 28537 452364 
2019 27079 23176 31030 31580 36853 44814 50437 52121 47482 42090 30504 26561 443727 
2020 27959 27007 29244 32441 45885 45727 52285 52415 44187 38146 28083 25018 448397 
2021 28358 24221 34086 39345 44700 49008 49894 49465 41918 35365 28031 28602 452993 
