# USBR Lower Colorado Basin Annual reports: Edison Diversion
# aka Mohave Generating Station
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1967 0 0 0 0 0 4 5 5 5 5 5 5 34
1968 5 5 5 5 5 5 5 5 5 5 5 5 60
1969 5 5 5 5 5 5 5 5 5 5 5 5 60
1970 7 7 7 7 7 7 5 5 5 5 73 26 161
1971 152 344 442 353 649 608 708 279 544 707 502 158 5446
1972 300 251 1559 978 1052 1293 1242 1352 1331 608 268 935 11169
1973 1161 548 622 866 886 982 1468 1104 1594 1128 986 842 12188
1974 1045 734 873 1054 1353 880 1193 1506 1368 1211 1086 1137 13440
1975 1359 837 1120 719 1190 1490 1630 1335 1148 1298 1384 912 14422
1976 1102 1059 187 727 1581 1617 1871 1506 1450 1081 1175 1353 14709
1977 1376 767 841 1254 1375 1438 1440 1529 1457 1110 1129 611 14327
1978 575 658 600 559 694 860 1024 910 909 984 661 619 9053
1979 771 989 645 988 876 843 1345 1414 856 1458 1103 646 11934
1980 647 501 600 1215 1079 1188 1052 971 1208 316 781 605 10163
1981 1002 1174 982 1089 1004 1449 1333 1148 1184 1347 1044 1227 13983
1982 1425 1375 1829 1115 1496 868 1606 1816 1608 1393 1428 1335 17294
1983 791 858 902 851 1620 1600 1602 1538 1586 748 1117 1463 14676
1984 1355 1368 1586 1186 1140 1418 1718 1546 1427 690 414 350 14198
1985 1002 1223 1509 1211 817 169 3 4 0 54 8 253 6255
1986 980 1062 1281 1333 1482 1253 1336 1117 1292 881 334 911 13262
1987 1021 1142 1295 943 796 1217 1664 1504 1535 722 600 1216 13655
1988 1335 979 775 1180 1619 1697 1894 1757 1352 1680 732 985 15985
1989 1164 1203 1548 979 1426 1702 1533 1517 994 930 669 600 14265
1990 878 1290 1246 914 1036 1230 1597 1772 1904 1429 2125 1852 17273
1991 1337 1215 1280 592 1258 1270 1799 1870 1126 890 1012 1172 14821 
1992 1066 1049 1202 870 1162 842 1523 1588 1323 943 962 1401 13931
1993 1259 1080 1034 783 1011 1382 1513 1702 1380 1410 1031 1222 14807
1994 710 987 899 508 1119 1606 1383 1372 1553 1397 1346 1102 13982 
1995 684 1056 508 874 1255 1153 1423 1527 1345 1304 1209 943 13281
1996 710 959 911 587 1051 1371 1402 1341 1135 1359 1059 1264 13149
1997 1182 837 945 547 1342 1058 1232 1435 1400 1150 1188 811 13127
1998 938 794 948 447 571 1117 1422 1359 1185 1188 1241 1641 12851
1999 793 727 766 663 877 1170 1334 1475 1263 1129 1024 928 12148
2000 958 927 1151 678 964 1286 1442 1410 1346 1034 1109 1097 13402
2001 773 854 952 528 1245 1394 1361 1464 1215 1330 1082 770 12968
2002 1052 920 758 540 1102 1270 1362 1372 1158 996 864 903 12297
2003 998 718 889 425 557 1193 1254 1206 1209 1121 1018 976 11564
2004 719 778 1096 629 1242 1235 889 1265 1235 1148 1019 783 12038 
2005 999 650 1046 652 1174 1212 1204 1251 1103 1139 895 1076 12401 
2006 181 100 150 150 225 140 74 68 40 42 39 39 1248
2007 21 9 5 5 29 41 51 54 55 48 37 41 396
2008 36 35 40 41 41 42 46 45 41 45 41 38 491
2009 43 34 44 42 47 43 45 47 50 47 44 34 520
2010 20 18 18 14 24 56 54 44 39 37 26 20 370
2011 13 11 10 24 15 15 9 0 0 0 0 0 97
