# USBR Lower Colorado Basin Annual reports: Nevada Totals Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 1330 1179 1205 1599 2467 3254 3910 3517 2548 1738 1260 1290 25297
1965 1251 1227 1330 1378 1750 2068 3135 3696 3156 1465 1014 1218 22688
1966 1319 1086 1400 1664 2224 3174 3834 3844 3152 1904 1590 1435 26626
1967 1411 1330 1709 1714 2297 3072 4079 3667 2900 1902 1560 1493 27134
1968 1510 1603 1831 1978 2944 3762 4475 4395 4190 2990 2020 1862 33560
1969 1754 1554 1877 2192 2535 3922 4567 4648 4075 3604 3260 3359 37392  # diff = -45 expected =  37392  got =  37347
1970 2999 2883 3216 3367 3772 3780 5229 3214 3496 2975 1822 1507 38308  # diff = -48 expected =  38308  got =  38260
1971 1779 1975 2342 2323 3043 5503 7998 6827 6046 5206 4237 3259 50586  # diff = -48 expected =  50586  got =  50538
1972 3119 3154 6299 5825 8040 9437 10421 9591 8502 6461 4615 5591 81051
1973 5701 4551 5260 6927 7775 9508 11623 10640 9669 8422 6758 5736 92649  # diff = -79 expected =  92649  got =  92570
1974 5775 5900 6910 7728 9915 10847 11025 11195 9152 6587 5091 4687 94889  # diff = -77 expected =  94889  got =  94812
1975 6250 4647 6752 6880 8936 11623 12264 11676 9784 8348 7929 6123 72140  # diff = 29072 expected =  72140  got =  101212
# 1975 2429 2429 2429 2429 2430 2429 2429 2429 2429 2430 2429 2429 29150  # Las Vegas Wash was left out of total
1976 3265 2778 3761 4906 8179 10329 10623 9987 7051 4741 4072 3424 73192  # diff = -76 expected =  73192  got =  73116
1977 2969 3197 4294 6526 6526 9029 10743 9998 7334 6546 4494 1453 73174  # diff = -65 expected =  73174  got =  73109
1978 928 1692 2336 4701 7435 10266 11147 10578 8561 7345 4484 1754 71293  # diff = -66 expected =  71293  got =  71227
1979 1734 2839 2962 4548 5315 6104 7379 6958 6642 6561 5005 3961 60074  # diff = -66 expected =  60074  got =  60008
1980 3688 3658 2530 7388 9344 10685 11692 11916 9998 8761 6945 6068 92737  # diff = -64 expected =  92737  got =  92673
1981 6125 6071 6710 9131 10123 12712 14191 11448 11048 9300 7737 5349 110017  # checked, diff = -72 expected =  110017  got =  109945
1982 5748 5038 6811 8161 10672 11299 12669 12540 10395 7979 6130 4810 102326  # diff = -74 expected =  102326  got =  102252
1983 2995 3233 4861 5815 9823 12770 13780 9595 10179 5565 4603 3307 86596  # diff = -70 expected =  86596  got =  86526
1984 4544 4972 6972 8606 13345 13955 12279 10342 10426 7789 4947 3180 101492  # checked, diff = -135 expected =  101492  got =  101357
