# USBR Lower Colorado Basin Annual reports: Nevada Totals Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1986 12379 10961 15716 16847 620054 19983 21420 21751 7797 14125 12136 10926 194168 error:  diff = 589927 got sum = 784095 /ark/Varuna/USBR_Reports/images/nv/consumptive_use/1986_3.png
Gap from 1983 to 1986
1987 4 12022 12262 14623 17696 19073 20378 23446 20058 22706 16335 11260 11568 201427 error:  diff = 4 got sum = 201431 /ark/Varuna/USBR_Reports/images/nv/consumptive_use/1987_2.png
1988 12469 12996 17199 18022 22127 23254 2799125129 20988 21518 915994 14720 232407 error:  diff = 2799972009 got sum = 2800204416 /ark/Varuna/USBR_Reports/images/nv/consumptive_use/1988_2.png
1989 14578 15085 21272 25067 25096 26668 39 31074 28456 25085 24987 18940 16744 273052 error:  diff = 39 got sum = 273091 /ark/Varuna/USBR_Reports/images/nv/consumptive_use/1989_2.png
1991 19473 17513 20706 25320 28463 27896 31686 29935 24941 28977 23031 20635 298576 
Gap from 1989 to 1991
1992 19177 18810 20425 24616 28634 28102 31973 32307 27476 28623 24150 21376 305669 
1993 20315 18684 23701 26985 32527 31678 34743 33729 29438 32405 26287 25069 335561 
1994 24538 22015 27928 29882 33703 34367 35958 34740 30558 34510 28332 24762 361293 
1995 21317 22792 26038 30116 31425 32106 34705 34464 33513 34609 30808 27965 359858 
1996 24788 22181 30289 33654 37570 37475 37726 37588 36382 35892 29392 27572 390508 
1997 27847 25280 32872 33280 41661 43008 39972 37273 29374 33991 31571 28804 404933 
1998 29958 23394 30134 32070 37445 36825 40179 38376 30150 38205 33227 31210 401173 
1999 31808 29848 36725 36880 43790 39730 41380 40970 36787 45287 38794 34577 456570 error:  diff = 6 got sum = 456576 /ark/Varuna/USBR_Reports/images/nv/consumptive_use/1999_2.png
2000 31015 29262 36288 44881 51474 945563 48841 948744 40732 44361 936174 928534 485870 error:  diff = 3599999 got sum = 4085869 /ark/Varuna/USBR_Reports/images/nv/consumptive_use/2000_2.png
2001 31099 29311 34410 43589 53247 44750 50303 50521 44816 45315 33815 28377 489554 
2002 29430 27225 35522 43955 50221 49444 55984 55795 46602 43608 33366 29528 500679 
2003 32239 28279 33371 40328 42163 48454 51269 48789 42521 49988 37629 36404 491434 
2004 31887 27782 37065 39785 53184 47917 48779 45637 40643 41226 29295 32561 475761 
2005 29591 26227 34497 40090 51872 49578 55643 50324 47221 47602 38110 31896 502651 
2006 33369 31142 34587 40139 52567 50884 52895 54291 49430 45483 39903 37467 522157 
2007 32693 30520 40512 41857 50995 50783 55344 51003 42518 45574 38706 36660 517165 
2008 33668 27802 36123 41150 46996 46523 50360 51575 40386 44484 33015 27892 479974 
2009 28429 25290 35687 38093 50577 42345 47832 47819 39008 42528 32712 27643 457963 
2010 26322 22939 31575 36222 44488 43650 50558 49944 38863 41848 35543 29840 451792 
2011 28835 27286 34012 36848 43133 41780 45360 46137 37345 38947 31156 27596 438435 
2012 27596 26884 33849 36595 46845 43944 46146 42906 35472 39222 32044 27854 439357 
2013 27037 25667 33561 37178 45033 44694 47280 45616 34402 38300 29077 25714 433559 
2014 26989 25545 34039 37876 47052 44187 45998 43346 37932 40881 30956 26323 441124 
2015 25401 25241 34349 38805 43544 43489 47234 46319 42840 39266 30938 27819 445245 
2016 27838 28208 36572 36339 40504 44986 49166 48087 40118 42242 34646 28728 457434 
2017 27633 25446 35916 38744 47661 46449 50257 48286 40476 42955 34684 31764 470271 
2018 29710 28221 34280 39826 47742 46625 48990 49752 44346 43488 35236 31063 479279 
2019 29396 25265 33577 34496 39574 46937 52943 54498 49530 44337 32903 28858 472314 
2020 30305 29233 31427 34865 49094 48976 55456 55644 47162 40596 29892 26319 478969 
2021 29258 25772 35956 41877 47289 50986 52913 52723 44918 37904 30452 31031 481079 
