# USBR Lower Colorado Basin Annual reports: Nevada Totals Measured Returns
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2010 19643 17425 19154 16929 16354 15284 15927 16215 15654 17859 18141 20373 208958 
2011 19328 18257 18984 16219 16891 15722 17823 17217 18767 18354 17793 18670 214025
2012 18610 16067 17295 15708 15612 14737 16576 18483 16164 18278 16532 16592 200654 
2013 18038 17092 18138 16306 16738 15750 17921 17815 18090 18280 17276 16865 208309 
2014 18825 17456 19888 16869 16707 15974 18119 19394 18384 18842 17208 17563 215229 
2015 19185 17133 19710 17726 18234 17684 18121 18673 17770 19113 18714 18907 220970 
2016 19327 17830 18210 17831 18209 16389 18196 18781 17417 18147 17872 19250 217459 
2017 20090 17975 19901 18535 18137 17065 18497 19397 18752 19015 18506 19444 225314 
2018 19691 17469 19430 17934 19698 18178 21405 20633 19435 20292 19231 20097 233493 
2019 20773 19301 19727 18891 21026 18976 19527 19289 18545 19264 19624 21887 236830 
2020 20863 20378 19173 16474 16741 17505 18398 18665 18135 18832 18436 18494 222094 
2021 18322 17281 20359 19686 19455 18273 21211 20831 20083 21116 20272 20525 237414 
