# USBR Lower Colorado Basin Annual reports: Nevada Totals Unmeasured Returns
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2010 25 114 116 44 93 246 309 280 25 75 43 27 1397 
2011 28 86 118 52 187 299 324 221 38 82 76 52 1563
2012 62 82 67 103 180 203 208 193 243 72 106 23 1542 
2013 34 105 123 122 219 265 209 263 133 136 47 31 1687 
2014 34 61 168 143 151 135 193 99 23 177 35 60 1279 
2015 70 111 146 181 153 149 143 193 127 126 97 50 1546 
2016 58 72 186 109 194 208 210 207 138 142 73 52 1649 
2017 31 50 107 102 204 214 225 261 114 105 80 39 1532 
2018 61 110 128 135 196 217 149 249 172 125 103 38 1683 
2019 43 43 99 167 223 212 151 259 179 83 20 9 1488 
2020 9 48 9 104 240 199 145 178 226 75 48 26 1307 
2021 30 74 64 175 215 194 138 206 173 116 64 48 1497 
