# USBR Lower Colorado Basin Annual reports: Central Arizona Project Delivered to Storage
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965
1966
1967
1968
1969
1970
1971
1972
1973
1974
1975
1976
1977
1978
1979
1980
1981
1982
1983
1984
1985
1986 0 0 11281 13826 2742 4160 4276 1215 12642 303 1540 2176 54161  # Start same as "ordered but not diverted" data
1987 1310 4720 4471 0 8655 17388 0 0 2105 4806 7056 5851 56362
1988 5082 4883 254 9582 0 0 4494 29468 9061 1806 3207 0 67837
1989 1893 534 0 0 5019 0 0 10720 24041 7356 0 0 49563
1990 5229 0 0 12135 0 0 41357 39901 22167 695 3680 0 125164
1991 0 764 2902 743 25 1790 2437 2653 4851 331 178 55 16729
1992 80 637 849 468 34532 113 1002 5758 2164 118 42 1799 47562
1993 24136 4737 12859 10853 15193 8368 5450 38641 20684 7852 21881 13435 184089
1994 16988 4009 12972 4272 5510 2622 1450 4200 2596 1016 29504 63574 148713
1995 22688 11167 2645 1427 9163 7543 7472 2777 1737 3123 15457 2775 87974
1996 17450 373 3184 933 2415 3630 214 1838 1611 927 321 3828 36724
1997 2247 3031 2299 130 5853 4637 2596 2114 18957 29206 8183 17354 96607
1998 1009 2604 6239 1665 3752 1106 2712 91 2104 2760 1523 4327 29892
1999 2029 5433 15231 3447 3370 16158 1724 6188 302 2935 9362 3852 70031
2000 190 4152 1209 1113 1575 1555 1050 52 105 197 1546 116 12860
2001 2602 2306 9744 1444 1780 5613 6653 2489 959 4119 5647 2415 45771
2002 7757 2299 716 1758 1218 1611 646 2681 212 275 6142 1622 26937
2003 1291 1843 509 1108 5283 4159 434 2664 643 826 5417 1675 25852
2004 3096 2382 812 2333 434 1872 1174 866 4369 0 1713 1043 20094
2005 5125 4066 12 0 486 499 2536 2566 0 1591 3171 362 20414
2006 399 1543 769 2397 3609 568 1499 1719 9795 2191 372 2742 27603
2007 1375 828 4303 7377 652 19342 1014 837 791 3882 2137 591 43130
2008 888 1967 3882 2885 3011 756 1209 2855 1315 3902 1502 538 24710
2009 3947 643 2612 3091 2190 1369 2099 1701 5654 2015 1978 850 28149 
2010 3748 1316 5470 3490 2288 3950 1594 4221 2074 12887 2529 1066 44633 
2011 2888 4165 5540 401 1551 679 76 1589 3447 701 666 2310 24013 
2012 354 910 897 -769 -40 451 -222 3415 3198 -67 673 -8322 478 
2013 1150 -201 -153 -502 -1521 -186 -11 458 533 56 715 150 489 
2014 160 1225 2160 0 0 1917 0 0 0 0 0 0 5462 
2015 460 5622 1380 11337 7042 2038 2777 2499 3770 970 612 607 39114 
2016 250 949 2433 1925 51 4780 1306 3310 4011 399 458 455 20327 
2017 10472 467 638 7348 5893 767 669 1657 3530 1187 216 4602 37446 
2018 194 829 4798 2614 5109 1642 10554 7153 0 16473 6924 2275 58565 
2019 1189 9099 11390 17360 20614 1625 10537 1331 9962 94 6816 314 90331 
2020 83 923 1120 3985 2063 430 1021 731 3081 2938 3579 232 20186
2021 915 6994 378 735 5 341 430 499 4868 5213 2179 1228 23785
