# USBR Lower Colorado Basin Annual reports: Arizona Totals Diverted by Others
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 1216 2280 766 2172 1705 1147 2599 1678 2826 2257 1330 1360 21836  # diff = -500 expected =  21836  got =  21336
1966 996 1543 1659 1246 2750 1958 2672 2105 2032 3102 2184 1889 24136
1967 3237 1192 1228 3113 1838 3435 2513 1492 4971 2650 1903 2960 30532
1968 2140 2346 1600 3835 2343 3679 2609 4486 3749 4779 2718 3880 38166
1969 3317 2322 3672 2832 1942 3305 3571 2833 4160 4334 3670 3510 39468
1970 3260 2754 2514 2119 1781 1953 3662 4701 4797 5225 3421 4357 40544
1971 1888 2614 1737 3015 2997 2314 1037 2412 3730 4340 2271 4439 32794
1972 2339 2138 3634 2828 2606 1822 2929 2491 3428 4940 1811 3174 34140
1973 2615 3266 1216 3090 4275 1844 2069 3573 5808 4780 3196 4026 39758
1974 1809 2124 1677 3083 2892 1922 2506 2526 2574 3205 3429 2494 30230  # diff = 11 expected =  30230  got =  30241
1975 4907 2768 2459 2010 2339 2153 1543 2660 4802 4238 3724 3096 36699
1976 3418 1713 2369 2895 3924 1561 2442 2356 1813 2679 2584 4017 31771
1977 1368 1819 2722 3718 4617 2679 3241 3691 2927 3844 3674 1663 35963
1978 926 2132 3858 3945 4977 4057 2966 4320 3139 2994 4229 2238 39781
1979 2111 2371 2725 3486 3177 4236 4205 2715 3140 2110 3042 3198 36516
1980 1442 2463 2278 1972 4579 1790 3272 3273 2811 2532 1930 3362 31704
1981 1931 2501 3114 3190 2425 2875 3220 3092 2966 3756 3054 3028 35152
1982 1635 2852 2240 3702 4445 2135 4617 2438 2805 1962 1769 2884 33484
1983 2798 1803 2471 2582 3271 3553 3755 2050 4652 2942 2916 2987 35780
1984 3372 3522 3539 2722 4575 3596 2023 2649 4028 2937 2329 942 36234
1985 3350 3241 2675 3881 5081 5648 5242 5111 2394 3212 2707 4866 47408
1986 4195 4048 2820 3877 4788 4376 4698 4562 3859 3019 3837 3928 48007 
1987 5131 5376 4905 4005 6363 4854 5229 6407 4962 3275 2540 5619 58726  # diff = -60 expected =  58726  got =  58666
1988 3439 4155 5150 5087 6655 7666 7880 3699 5835 2937 4912 4476 61891
1989 3050 6440 8048 6430 4515 6437 10030 5796 4017 4092 4108 5986 68949
1990 1546 4714 3642 5522 8290 7212 4015 4013 3960 2518 2256 4931 52619
1991 3160 6230 3663 6611 3574 4247 4188 4667 4318 3983 7157 4749 56547 
1992 4586 4633 4466 6660 6716 4785 6192 5927 4146 3194 7235 4573 63113 
1993 962 2421 4859 5960 5141 6379 7209 4503 5023 3796 4683 3824 54760 
1994 3394 4159 5612 5489 4143 6541 5806 5516 4855 5883 4289 2922 58609 
1995 1276 4336 3607 4292 5159 4373 3923 3489 3519 3469 2670 3649 43762 
1996 3643 4908 3828 5880 6694 4694 4892 3917 2452 6446 5495 4390 57239
1997 3209 6756 10156 8183 7163 8192 3103 4165 2158 3881 1705 2413 61084 
1998 3443 2398 7265 5507 5241 5097 6461 3777 3182 2508 4819 4555 54253 
1999 6433 4151 3476 5408 7260 4368 5010 4173 4117 4529 4401 5407 58733
2000 3532 4456 5009 6979 7936 5433 6672 3377 3253 3856 3995 7564 62162  # diff = -100 expected =  62162  got =  62062
2001 2689 3384 3660 15606 12652 8211 11103 8299 7760 6927 8950 8286 97527
2002 2688 4836 6382 7920 8628 6891 5334 5541 5977 7254 5430 5445 72326 
2003 14873 9723 29746 5846 15285 6237 2509 14713 19370 4447 2539 3363 128651 
2004
2005
2006
2007 6061 8499 6351 6934 11808 8037 8817 7563 6465 6198 12910 18037 107682 
2008 4878 6632 6136 5645 6335 10000 9597 6565 8110 4742 7168 9336 85144 
2009 5748 3532 6482 6138 7283 6151 4188 7224 5282 6487 4936 4782 68233  # Dec was copied as total, 68233 sum of months
2010 6815 4120 4699 4214 10102 5654 5418 8243 5301 1536 5049 5446 66597 
2011 4786 4675 6207 12622 7459 4905 7382 9404 7858 8465 9377 6249 89389 
2012 4396 4916 3998 5001 6657 7340 5906 6613 5398 6361 7196 5663 69446 
2013 3032 4767 5949 5706 10623 6241 5700 6893 2639 2764 5010 5365 64691 
2014 2539 3831 4985 4321 3714 8169 3888 3575 3089 1586 1542 2361 43601 
2015 3151 4665 4276 3163 3190 3792 3477 5520 4022 3212 4577 4535 47580 
2016 2422 3383 4980 2551 4643 5734 5674 7864 4548 11572 8691 4307 66369 
2017 5988 3041 5052 3628 5118 4519 3684 6033 5214 4484 4391 4047 55199 
2018 5308 5540 5217 4756 5005 3417 5837 6123 5847 6905 2544 2636 59135 
2019 4779 2822 5189 5501 7026 5293 5676 6853 7314 3507 2739 4865 61564 
2020 5119 4580 4699 4448 4509 5304 5999 5792 5489 4374 4369 3285 57967 
2021 3113 7024 9382 8585 8019 8979 9288 11715 4253 5106 3437 4294 83193 
