# USBR Lower Colorado Basin Annual reports: Arizona Totals Delivered to Storage
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965
1966
1967
1968
1969
1970 3904 5449 8154 4845 6409 2075 2412 7270 2271 5865 5260 6335 60249
1971 6498 2815 3267 6503 4449 1679 2118 9354 8317 10450 6811 5720 67981
1972 5263 3123 2703 1780 3941 3030 2686 4328 4714 10494 5477 5624 53163
1973 3743 8586 11434 1895 4332 4625 2939 10211 3175 4273 5142 5493 65848
1974 6612 1972 5630 1359 3096 3630 6250 5557 6162 8961 5501 3577 58306
1975 4225 2906 7809 3588 5322 5508 4506 3913 6905 8771 6699 12760 72912
1976 9200 13275 4774 9073 8645 5735 11452 4195 14765 12419 10932 9227 113692
1977 11898 4589 8726 5037 10637 3712 3178 5173 13456 7744 7400 13729 95279
1978 12456 7257 8630 4640 4891 4121 5541 6118 3001 12803 7606 15933 92997
1979 13841 4740 13412 5293 8837 5310 6668 4909 6165 11309 7818 5542 93844
1980 6999 9230 7202 4869 6524 3494 4811 7516 7246 8901 6928 7186 80906
1981 13880 6416 12823 8920 10850 6792 5875 9082 8242 6648 3451 10952 103931
1982 15951 8563 15815 6148 6478 8926 7687 18403 7582 13497 13948 9909 132907
1983 15705 11151 10968 11441 9783 7450 12417 31286 12113 9600 10027 17178 159119
1984 8528 7365 9922 15402 15541 15041 29183 29000 9274 7635 8851 19150 174892
1985 5965 7754 6878 11198 10294 11471 4691 5831 16475 17150 13315 7947 118969
1986 8219 7154 16558 17701 9720 8363 13927 10231 20546 9997 7937 14193 144546
1987 6405 9161 13162 7659 18223 23419 6970 5986 9131 19748 18017 17561 155442
1988 17676 10036 7729 27987 10206 17572 17988 47089 26162 27872 21133 22419 253869
1989 12690 11197 10476 10273 27513 19195 20047 43927 31146 25158 16932 18599 247153
1990 21601 6533 6154 18440 13358 12762 59381 54873 32634 22321 22573 19769 290399
1991 11912 8648 21780 5490 7617 20538 20823 18689 17406 13557 11709 18464 176633
1992 11644 11576 20777 3386 45283 6190 8437 12611 10683 12190 9238 17789 169804
1993 28865 14815 20963 16280 25281 12537 11649 49970 31438 20339 41193 22894 296224
1994 25247 16799 28211 14688 20757 8616 9633 10831 16513 12463 41678 78921 284357
1995 29602 18449 13229 13234 19233 14650 12045 4556 6342 17821 30376 14357 193894
1996 23519 8901 6351 8959 9753 8303 6003 7865 8014 11281 10328 16052 125329
1997 9704 6881 15208 3581 10588 10679 10133 5150 35444 36463 18819 31570 194220
1998 8291 16822 12016 6130 13101 5018 8810 7454 11002 12906 8852 8208 118610
1999 8466 12647 26678 15496 13019 24873 16822 13362 13451 14932 25815 13526 199087
2000 8586 10423 12621 6782 12344 10477 7019 9457 8447 23425 11550 11297 132428
2001 16714 16966 32005 4266 3608 20488 9186 7236 7255 13396 19706 10877 137443  # checked, total seems correct, diff = 24260 expected =  137443  got =  161703
2002 19021 9244 11072 14492 10595 8365 13205 13212 10771 46452 26346 4802 187577
2003 1440 9079 1042 9232 13309 10942 38415 3265 2512 14285 22589 11466 137576
2004
2005
2006 399 1543 769 2397 3609 568 1499 1719 9795 2191 372 2742 27603
2007 5397 6176 7290 10658 2800 21815 7604 5203 3537 10804 6695 5721 93701
2008 5507 5031 5759 4538 8791 2832 3240 6440 4824 8824 5953 5633 67372
2009 6503 3079 3408 5361 3856 2952 2949 3222 6707 7208 5931 4148 31447  # checked, months seem correct, diff = 23877 expected =  31447  got =  55324
2010 6221 2376 7605 5957 4174 4654 2997 4630 3819 14073 6333 2799 65637 
2011 7633 6594 6504 3429 3107 2263 2614 4538 5801 3611 4986 8567 59646 
2012 3026 2450 1877 39 1532 1489 3602 4956 6773 2009 2757 -6861 23651 
2013 4781 599 2393 86 -575 723 2398 3570 2403 2071 2652 2271 23373 
2014 1952 2018 4023 2418 2465 4259 1155 1733 2302 1056 1332 664 25376 
2015 2591 7806 3990 14731 13322 5638 6687 4612 8243 4195 3367 3595 78777 
2016 3499 2659 4564 6372 2479 5898 2985 5333 7725 1878 2166 5548 51105 
2017 11457 2390 1752 8412 8048 3451 2599 3691 4578 2560 1099 6279 56315
2018 2572 3099 6140 3805 7064 3905 13326 8642 1656 18668 8891 4238 82005
2019 6128 11520 12095 18637 21513 2043 10982 3839 11709 776 9609 2202 111054
2020 2428 2434 2188 4598 2746 1516 1796 1545 4478 3786 5286 2198 34999 
2021 4695 7211 605 1722 147 493 630 1121 5402 7062 3920 3455 36463 
