# USBR Lower Colorado Basin Annual reports: Arizona Totals Excess of Treaty
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965
1966
1967
1968
1969
1970
1971
1972 0 0 0 0 0 0 0 0 0 6106 0 0 6106
1973 0 835 694 0 0 0 0 1500 0 0 0 0 3029
1974 2435 0 0 0 0 0 0 0 0 0 0 0 2435
1975
1976
1977 0 0 0 0 0 0 0 17676 0 0 0 1051 18727
1978
1979 0 0 1777 0 0 0 3236 12208 0 483 0 0 17704
1980 2716 3576 308 2332 2368 0 0 0 0 0 0 0 11300 
1981 0 1100 2572 1244 0 0 0 3674 0 0 0 0 8590
1982 0 0 1699 0 0 0 505 2759 322 0 0 5370 10655 
1983
1984 0 0 0 0 0 0 0 0 0 0 0 0 0 
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0 
1987 0 0 0 0 0 0 0 0 0 1652 2509 4552 8713
1988 0 1672 0 3731 855 0 0 16690 0 0 0 0 22948
1989 13208 1669 0 0 0 0 14210 10459 1408 3070 0 0 44024 
1990 893 0 0 0 0 0 0 10071 3679 887 0 0 15510
1991 6041 0 0 0 0 0 0 0 766 0 0 593 7400 
1992 0 0 5722 3850 1462 0 0 1042 0 2409 0 2757 17242 
1993 2232 877 0 0 0 0 0 0 0 0 0 0 3109 
1994 0 0 417 0 675 0 0 490 1279 0 0 4113 6974 
1995 1587 230 572 0 0 0 0 60 0 0 0 0 2449 
1996 56 78 68 13 169 51 183 138 94 135 335 89 1409 
1997 0 0 0 0 0 0 213 34 0 0 0 0 247 
1998 164 60 241 134 0 0 4 1 2 2 1 3 612 
1999 -1 0 0 0 1 1 0 0 1 0 1 0 1 
2000 0 0 0 0 0 0 0 0 0 0 0 0 0 
2001 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 0 0 0 0 0 0 0 0 0 0 0 0 0 
2003 0 0 0 0 0 0 0 0 0 0 0 0 0
2004
2005
2006
2007 1042 268 237 1109 207 281 627 1159 1252 3622 561 2858 13224
2008 5298 453 462 600 1604 230 1176 6553 3757 4707 6945 8545 40330 
2009 419 3877 145 670 1919 457 205 1349 1615 2001 1152 3798 17607 # Dec was duplicated in total, 17607 is month sum
2010 9993 452 4552 3053 957 103 26 718 675 6174 1244 7796 35742 
2011 3982 4356 960 1565 449 27 216 248 662 1199 950 4638 19252 
2012 356 137 269 1104 724 265 5325 1186 936 5992 1368 8428 26089 
2013 6042 1300 523 281 459 100 3506 5024 3084 5270 2150 407 28147 
2014 473 528 408 1047 659 502 440 3764 633 2035 1036 291 11816 
2015 227 127 312 168 1662 196 230 324 321 104 225 211 4107 
2016 291 40 100 575 304 94 119 488 203 104 321 1526 4165 
2017 583 202 402 126 529 179 60 252 3177 244 178 109 6041 
2018 97 24 79 20 161 37 137 92 228 1155 140 743 2913 
2019 99 254 265 116 99 34 52 225 397 1400 6225 2506 11672 
2020 270 2726 4667 1006 531 131 193 448 227 93 159 93 10544 
2021 2723 344 1035 6 151 47 41 814 374 362 51 237 6184 
