# USBR Lower Colorado Basin Annual reports: Arizona Totals Delivered to Mexico
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965
1966 0 0 0 0 0 0 0 0 0 0 0 0 0
1967 0 0 0 0 0 0 0 0 0 0 0 0 0
1968 0 0 0 0 0 0 0 0 0 0 0 0 0
1969 0 0 0 0 0 0 0 0 0 0 0 0 0
1970 0 0 0 0 0 0 0 0 0 0 0 0 0
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 0 0 0 0 0 0 0 0 0
1977 0 0 0 0 0 0 0 0 0 0 0 0 0
1978 0 0 0 0 0 0 0 0 0 0 0 0 0
1979 0 0 0 0 0 0 0 0 0 0 0 0 0
1980 0 0 0 0 0 0 0 0 0 0 0 0 0
1981 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 0 0 0 0 0 0 0 0 0 0 0 0 0
1983 0 0 0 0 0 0 0 0 0 0 0 0 0
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 0 0 0 0 0 0 0 0 0 0 0 0 0 
1988 0 0 0 0 0 0 0 0 0 0 0 0 0 
1989 0 0 0 0 0 0 0 0 0 0 0 0 0 
1990 0 0 0 0 0 0 0 0 0 0 0 0 0
1991 0 0 0 0 0 0 0 0 0 0 0 0 0
1992 0 0 0 0 0 0 0 0 0 0 0 0 0
1993 0 0 0 0 0 0 0 0 0 0 0 0 0
1994 0 0 0 0 0 0 0 0 0 0 0 0 0
1995 0 0 0 0 0 0 0 0 0 0 0 0 0
1996 0 0 0 0 0 0 0 0 0 0 0 0 0
1997 0 0 0 0 0 0 0 0 0 0 0 0 0
1998 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 0 0 0 0 0 0 0 0 0 0 0 0 0
2002
2003
2004
2005
2006
2007 10833 12495 5843 4787 3091 3319 11440 11929 10887 13060 21612 20882 130178 
2008 16950 7164 4265 1479 11958 4797 5563 6024 11240 12028 11185 13283 105926  # diff = 10 expected =  105926  got =  105936
2009 5342 12829 3490 3567 3486 3262 1518 1428 4983 9813 13365 6834 69917 # Dec was copied as total, 69917 sum of months
2010 12709 8149 11525 7623 3966 2282 1070 1560 4228 16895 9656 10721 90384 
2011 5494 7987 7610 14924 2367 990 3960 1222 6142 4869 14096 4487 74147 
2012 8322 7988 5844 2827 3265 1994 3447 5765 10294 6663 8489 3103 68002 
2013 4596 8623 6707 6939 4806 1609 10819 4787 10594 11757 17594 5988 94819 
2014 9686 6672 7092 8399 10633 11921 10704 13623 7511 6489 7489 8623 108844 
2015 4365 2837 6665 2991 11103 3567 3691 2105 4869 5546 2839 2851 53429 
2016 9084 2707 4744 7860 5102 2150 5255 5245 7166 4876 4823 3437 62449 
2017 5019 4511 2520 2909 5622 2522 3156 4381 3402 2801 5793 4400 47036 
2018 5732 2498 3241 2492 2031 3112 4336 4089 3847 6852 2516 5283 46029 
2019 3946 2678 1948 1449 2076 930 733 2113 2323 2527 5742 6806 33271 
2020 2092 4319 5653 2167 2214 2573 2058 2930 3427 3010 3330 2743 36516 
2021 9722 5259 1674 983 2015 949 1607 2221 3277 3889 1179 3293 36069 
