# USBR Lower Colorado Basin Annual reports: Coachella Diverted by Others
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 309 593 862 1524 432 1117 1275 876 562 393 1808 485 10236
1966 0 0 875 0 0 0 0 0 0 0 0 0 875
1967 172 0 0 0 0 0 0 0 0 0 0 0 172
1968 0 0 0 0 0 0 0 0 0 0 0 0 0
1969 0 0 0 0 0 0 0 0 0 0 0 0 0
1970 0 0 0 0 0 0 0 0 0 0 0 0 0
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 294 29 0 0 1041 135 0 0 1499
1977 0 436 179 0 321 0 0 2166 577 246 113 79 4117
1978 236 226 1813 278 0 0 0 0 998 89 555 91 4286
1979 486 815 0 0 244 464 1654 609 256 165 0 135 4828
1980 405 2128 278 0 67 0 278 1444 16 0 186 26 4828
1981 325 0 44 143 337 0 99 0 83 2 0 0 1033
1982 0 333 367 0 0 403 30 75 204 198 149 242 2001 
1983 405 532 623 77 169 1146 407 1714 149 448 486 220 6376
1984 1097 990 208 478 986 1525 740 125 248 458 877 486 8218
1985 545 79 813 103 200 778 752 61 357 504 383 760 5335
1986 349 1087 500 545 478 137 202 0 296 847 432 623 5496 
1987 565 668 1234 345 659 73 186 298 12 547 1053 42 5682
1988 1031 177 309 1010 361 494 266 232 32 186 262 200 4560
1989 155 274 395 540 224 6 109 175 40 238 383 383 2922
1990 210 1000 313 240 32 200 50 79 48 153 8 42 2375
1991 22 252 692 161 40 42 61 16 645 179 204 133 2447 
1992 167 240 319 16 129 14 67 117 61 270 38 196 1634
1993 198 442 119 103 50 232 28 18 77 194 129 298 1888 
1994 117 504 58 20 186 357 97 210 56 474 99 169 2347 
1995 42 115 131 28 182 371 24 242 113 157 38 228 1671 
1996 208 194 52 77 161 399 161 585 524 117 42 147 2667
1997 381 494 218 157 161 210 436 232 171 282 0 0 2742 
1998 329 0 97 171 300 192 105 40 292 173 173 553 2425 
1999 732 361 256 748 601 266 161 365 623 873 85 230 5301 
2000 238 954 20 188 472 214 141 200 559 232 242 1022 4482 
2001 254 224 593 682 75 141 1162 563 504 105 0 1023 5326 
2002 129 151 305 234 157 422 315 254 115 180 71 1121 3454 
2003 783 1400 760 653 0 565 93 246 317 143 139 303 5402 
2004
2005 0 0 0 0 0 0 0 0 0 0 0 0 0 
2006
2007 83 164 266 1023 1434 325 894 1156 1908 190 278 1215 8935 
2008 433 421 1000 1116 922 1125 3058 2342 1629 417 654 1901 15018
2009 1363 482 685 904 667 1858 1427 1553 710 663 717 674 11704 
2010 185 182 2112 1898 3143 5181 4037 3771 3239 484 1560 4804 30596 
2011 1300 764 296 812 3551 2070 3128 888 2013 1843 1397 1397 19458 
2012 1108 1359 967 979 988 2011 394 637 981 349 291 2544 12608 
2013 616 384 219 150 525 469 452 249 351 223 195 1518 5352 
2014 682 283 401 645 1120 1692 760 424 1016 625 220 1078 8946 
2015 1093 196 878 977 412 478 1393 568 2653 833 572 1204 11257 
2016 338 116 932 184 335 610 667 329 1263 691 289 602 6356 
2017 400 184 288 187 949 1134 1547 1117 2045 363 300 1051 9565 
2018 764 712 311 578 2236 1584 717 2233 1716 543 106 290 11790 
2019 150 135 456 386 1676 1288 2916 486 396 108 312 757 9066 
2020 58 104 274 265 1203 447 497 524 233 105 125 162 3997 
2021 104 78 377 392 724 468 850 47 141 467 858 565 5072 
