# USBR Lower Colorado Basin Annual reports: Coachella Delivered to Storage
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 0 0 0 0 0 0 0 0 0 0 0 0 0
1966 0 0 0 0 0 0 0 0 0 0 0 0 0
1967 0 0 0 0 0 0 0 0 0 0 0 0 0
1968 0 0 0 0 0 0 0 0 0 0 0 0 0
1969 0 0 0 0 0 0 0 0 0 0 0 0 0
1970 0 0 0 0 0 0 0 0 0 0 0 0 0
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 539 248 694 0 2023 1392 555 0 5451
1977 416 536 793 0 651 0 0 248 1228 726 26 857 5481
1978 736 468 1902 555 0 0 833 0 1085 1633 556 323 8091
1979 1337 296 28 0 34 91 306 160 716 1501 0 420 4889
1980 434 3408 49 0 808 0 0 1333 539 0 607 371 7549
1981 4767 0 1132 650 1246 0 0 0 806 355 99 0 9055
1982 0 381 1494 0 0 192 168 946 391 0 843 408 4823
1983 1692 2080 1128 264 424 1089 835 5508 1075 298 863 831 16087
1984 551 45 80 549 825 425 4262 1319 363 224 1099 1377 11119
1985 211 209 595 20 266 315 65 26 742 119 1553 228 4349
1986 224 1047 1093 302 91 0 135 399 11 224 246 442 4214
1987 14 903 636 379 363 2 2 33 10 177 594 313 3426
1988 423 641 52 1187 422 456 87 14 236 296 299 550 4663
1989 126 332 37 630 210 54 12 389 0 82 226 276 2374
1990 825 801 36 69 16 44 29 65 63 329 119 85 2481
1991 115 541 2374 131 16 51 78 170 353 69 94 1303 5295
1992 87 1609 813 182 355 6 40 6 38 220 67 736 4159
1993 1335 1010 85 0 67 14 81 38 26 48 323 251 3278
1994 119 1210 515 55 137 244 48 121 53 238 155 321 3216
1995 501 121 314 260 211 57 0 10 107 345 166 313 2405
1996 153 77 24 270 210 315 438 345 260 230 60 426 2808
1997 1624 143 159 454 426 107 1043 157 2192 184 0 2 6491
1998 561 0 105 26 292 123 10 167 343 375 355 54 2411
1999 246 434 849 611 581 500 462 619 1170 506 224 250 6452 
2000 623 889 85 143 373 97 77 1111 809 706 240 0 5153
2001 1446 1018 736 0 135 14 0 0 0 0 0 0 3349 
2002 924 295 542 575 115 139 167 20 502 623 528 182 4612
2003 0 0 0 563 0 274 379 0 0 289 962 611 3078
2004
2005
2006
2007 125 153 452 598 147 235 459 466 636 26 91 371 3759
2008 518 272 432 202 924 523 185 560 214 62 508 929 5329
2009 431 212 27 179 209 599 311 106 71 220 640 1083 4088  # Annual Report had wrong total, 674
2010 499 282 525 1042 251 468 500 217 925 441 859 550 6558 
2011 782 590 52 105 520 327 742 246 1777 845 709 1060 7756 
2012 809 251 260 88 288 379 99 258 698 199 177 273 3776
2013 763 39 30 15 66 24 251 110 351 138 35 490 2313 
2014 355 84 239 221 789 328 186 236 473 611 80 291 3893 
2015 688 110 321 444 821 242 1399 355 888 897 223 1019 7409 
2016 964 40 469 749 153 394 71 73 1537 22 73 1016 5562 
2017 184 100 109 98 211 628 674 867 333 236 142 282 3866
2018 166 131 85 194 697 786 393 508 779 93 99 122 4053 
2019 506 225 66 92 188 182 204 145 110 23 45 167 1952 
2020 0 0 134 99 192 32 52 71 326 17 83 217 1223 
2021 62 3 4 34 12 0 1 0 21 286 240 390 1053 
