# USBR Lower Colorado Basin Annual reports: Coachella Excess of Treaty
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 0 0 0 0 0 0 0 0 0 0 0 0 0
1966 0 0 0 0 0 0 0 0 0 0 0 0 0
1967 0 0 0 0 0 0 0 0 0 0 0 0 0
1968 0 0 0 0 0 0 0 0 0 0 0 0 0
1969 0 0 0 0 0 0 0 0 0 0 0 0 0
1970 0 0 0 0 0 0 0 0 0 0 0 0 0
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 0 0 0 0 3404 0 0 0 3404
1977 0 0 0 0 0 0 0 3058 0 0 0 174 3232
1978 0 0 728 0 0 0 0 0 0 579 0 141 1448
1979 0 0 250 0 0 0 1095 2563 0 0 0 0 3908
1980 272 1129 228 0 1347 0 0 0 0 0 0 0 2976
1981 0 0 1204 0 0 0 0 298 0 0 0 0 1502
1982 0 0 321 0 0 0 0 169 0 0 0 143 633 
1983 0 0 881 0 0 0 0 0 0 0 0 0 881
1984 0 0 0 0 0 0 0 0 0 0 0 0 0 
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0 
1987 0 0 0 0 0 0 0 0 0 111 317 71 499
1988 0 670 0 637 0 0 0 1529 0 0 0 0 2836
1989 260 56 0 0 0 0 0 337 0 216 0 0 869 
1990 256 0 0 0 0 0 0 38 0 12 0 0 306
1991 91 0 0 0 0 0 0 0 188 0 0 127 406 
1992 0 0 26 607 0 0 0 0 0 119 0 226 978 
1993 385 101 0 0 0 0 0 0 0 0 0 0 486 
1994 0 0 0 0 0 0 0 2 0 0 0 48 50 
1995 280 4 83 0 0 0 0 6 0 0 0 0 373 
1996 2 3 1 2 2 2 2 2 1 2 1 2 22 
1997 0 0 0 0 0 0 254 24 0 0 0 0 278 
1998 3 0 2 1 1 2 2 1 2 1 2 2 19 
1999 0 0 0 0 0 0 0 0 0 0 0 0 0 
2000 0 0 0 0 0 0 0 0 0 0 0 0 0 
2001 0 0 0 0 0 0 0 0 0 0 0 0 0 
2002 0 0 0 0 0 0 0 0 0 0 0 0 0 
2003
2004
2005 0 0 0 0 0 0 0 0 0 0 0 0 0
2006
2007 77 7 41 143 0 26 26 34 490 52 5 254 1155 
2008 829 66 73 131 132 14 165 591 244 339 1289 1911 5784
2009 92 795 6 37 31 167 28 80 346 43 19 854 2497 
2010 1511 14 1072 1083 309 73 8 244 442 2192 416 4109 11473 
2011 1524 777 99 302 201 17 96 31 301 150 113 342 3952 
2012 50 32 65 118 284 74 263 426 241 735 7 2199 4495 
2013 1318 27 36 6 33 12 285 1883 328 488 13 108 4537 
2014 124 28 112 28 141 25 102 873 301 826 93 88 2741 
2015 71 12 58 98 425 72 105 38 93 40 42 63 1117 
2016 95 19 25 47 33 22 9 9 35 2 7 365 668 
2017 32 19 1 10 30 58 21 87 1403 80 19 14 1774 
2018 68 0 3 5 52 32 46 56 88 397 9 184 940 
2019 0 2 9 16 20 6 74 17 118 13 882 22 1179 
2020 0 2 1061 273 210 5 9 175 26 1 4 1 1767 
2021 47 0 3 0 16 1 3 1 40 7 28 24 170 
