# USBR Lower Colorado Basin Annual reports: Coachella Ordered but not Diverted
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 0 0 0 3251 506 1091 0 0 337 258 3191 774 9408
1966 0 0 1111 0 0 0 0 833 0 1442 1111 694 5191
1967 1388 0 0 0 0 0 0 0 0 0 0 0 1388
1968 0 0 0 0 0 0 0 0 0 0 0 0 0
1969 0 0 0 0 0 0 0 0 0 0 0 0 0
1970 0 0 0 0 0 0 0 0 0 0 0 0 0
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0 
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 833 277 694 0 6468 1527 555 0 10354
1977 416 972 972 0 972 0 0 5472 1805 972 139 1110 12830
1978 972 694 4443 833 0 0 833 0 2083 2301 1111 555 13825
1979 1823 1111 278 0 278 555 3055 3332 972 1666 0 555 13625
1980 1111 6665 555 0 2222 0 278 2777 555 0 793 397 15353
1981 5092 0 2380 793 1583 0 99 298 889 357 99 0 11590
1982 0 714 2182 0 0 595 198 1190 595 198 992 793 7457
1983 2097 2612 2632 341 593 2235 1242 7222 1224 746 1349 1051 23344
1984 1648 1035 288 1027 1811 1950 5002 1444 611 682 1976 1863 19337
1985 756 288 1408 123 466 1093 817 87 1099 623 1936 988 9684
1986 573 2134 1593 847 569 137 337 399 307 1557 841 1065 10359
1987 579 1571 1870 724 1022 75 188 331 22 835 1964 426 9607
1988 1454 1488 361 2834 783 950 353 1775 268 482 561 750 12059
1989 541 662 432 1170 434 60 121 901 40 536 609 659 6165
1990 1291 1801 349 309 48 244 79 182 111 494 127 127 5162
1991 228 793 3066 292 56 93 139 186 1186 248 298 1563 8148 
1992 254 1849 1158 805 484 20 107 123 99 609 105 1158 6771
1993 1918 1553 204 103 117 246 109 56 103 242 452 549 5652 
1994 236 1714 573 75 323 601 145 333 109 712 254 538 5613 
1995 823 240 528 288 393 428 24 258 220 502 204 541 4449 
1996 363 274 77 349 373 716 601 932 785 349 103 575 5497
1997 2007 639 379 613 589 319 1738 415 2364 468 2 2 9535 
1998 893 0 204 198 593 317 117 208 637 549 530 609 4855 
1999 978 795 1105 1359 1182 766 623 984 1793 1379 309 480 11753 
2000 861 1843 105 331 845 311 218 1311 1368 938 482 1022 9635 
2001 1700 1242 1329 682 210 155 1162 563 504 105 0 1023 8675 
2002 1053 446 847 809 272 561 482 274 617 803 599 1303 8066 
2003 783 1400 760 1216 0 839 472 246 317 432 1101 914 8480 
2004 813 1932 502 764 1355 571 2144 101 1381 1674 1904 2065 15206 
2005 2295 2184 0 0 0 0 0 0 690 225 0 2808 8202 
2006 764 192 1714 1464 1668 964 1791 2414 1107 1793 724 1972 16567 
2007 829 521 1652 2842 2044 762 1983 2197 4682 692 1652 3985 23842 
2008 3477 1699 2215 1667 2653 2121 5686 4323 3399 1348 3742 5904 38234 
2009 3025 3223 1015 1517 1337 3335 2245 1818 1387 1891 3408 4810 29010 
2010 3803 1124 6217 5960 5076 6879 5379 5295 6210 7718 5530 13054 72246 
2011 4717 3829 792 1717 5412 2691 5066 1364 5640 4079 4279 3582 43168
2012 3095 3975 2592 2013 2769 2943 1048 1561 4118 1903 801 5542 32360 
2013 3699 1000 629 249 1083 532 1818 2844 2468 2096 1194 3798 21410 
2014 3757 2034 2546 3112 5078 3701 4162 3591 5092 4647 1572 3830 43123 
2015 3121 1016 2365 3028 4178 1995 4189 1165 4900 4552 1395 2839 34743 
2016 5296 621 2777 1998 1361 1390 1138 523 4474 867 382 2526 23353 
2017 1266 661 464 470 1873 2289 3211 3284 4792 886 1367 2024 22587 
2018 2286 1151 790 1443 3954 4351 2222 4779 3554 1720 345 2059 28654 
2019 1083 693 811 658 2328 1918 3755 834 926 391 1627 1085 16109 
2020 58 189 2176 1377 1978 519 701 1417 1085 260 304 436 10500 
2021 497 285 481 456 875 483 870 50 406 975 1302 1261 7941 
