# USBR Lower Colorado Basin Annual reports: Imperial Irrigation Diverted by Others
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 0 0 0 42 0 0 0 0 0 0 0 30 72
1966 0 996 952 0 0 0 270 0 0 0 0 50 2268
1967 508 0 0 105 0 0 0 0 6 0 0 331 950
1968 0 0 278 0 0 0 26 0 0 0 0 0 304
1969 38 0 0 0 0 0 0 0 470 0 117 0 625
1970 0 165 133 0 0 0 0 0 16 0 0 26 340
1971 0 0 0 0 0 0 0 295 0 0 0 0 295
1972 0 0 0 0 0 0 0 0 0 127 149 68 344
1973 0 194 0 0 0 0 0 159 0 0 0 0 353
1974 1450 232 20 0 0 0 149 47 0 319 0 240 2457
1975 774 178 236 613 0 0 0 0 381 0 0 14 2196
1976 204 642 940 730 419 0 0 0 336 403 0 252 3926
1977 302 250 557 216 0 30 0 480 2382 0 0 4 4221
1978 0 494 280 0 601 0 0 0 0 36 415 200 2026
1979 135 0 496 198 292 0 383 30 0 419 0 0 1953
1980 0 38 452 1210 651 0 0 0 0 0 0 0 2352
1981 0 0 3306 514 341 0 0 44 0 0 454 0 4659
1982 141 758 661 73 0 0 0 131 133 0 0 28 1925
1983 1250 1664 778 986 1377 2890 2791 1553 2410 2142 758 272 18871
1984 109 577 538 292 167 12 83 458 174 593 1299 551 4850
1985 14 936 1004 1373 649 1071 313 498 488 541 609 2295 9791
1986 1025 268 1686 839 494 139 149 1642 0 60 169 301 6772
1987 781 381 244 672 1002 65 204 2446 1549 702 1012 165 9223
1988 52 36 177 551 547 502 196 819 26 300 260 482 3948
1989 1073 202 432 1113 692 428 458 58 91 85 214 603 5449
1990 528 270 2108 1394 303 583 601 557 603 768 315 351 8381
1991 1541 1188 1914 692 899 194 530 561 904 381 1150 1738 11692 
1992 432 371 1843 105 1254 504 2376 1408 930 1067 914 2477 13681 
1993 668 714 2779 1291 990 464 783 355 309 286 724 960 10323 
1994 992 1194 1543 2563 438 1456 426 631 990 1244 1105 1033 13615
1995 2809 1797 811 1119 645 510 516 990 571 702 167 105 10742 
1996 1511 2053 3029 1442 532 605 1773 748 516 149 561 573 13492
1997 718 395 557 887 206 549 819 569 1166 1523 627 1206 9222 
1998 1099 1686 3293 3868 1984 1121 799 2592 551 1246 2099 258 20596 
1999 365 1813 849 2541 1700 1402 1676 758 196 95 230 1593 13218 
2000 2890 343 3463 2924 1805 2392 1549 2650 2483 1523 1480 9249 32751
2001 1307 2299 4403 6145 5022 2382 2085 5568 6032 7095 6702 8351 57391 
2002 2696 4134 5798 2583 1755 3100 50 1954 2856 530 482 825 26763 
2003 5518 20051 2751 3921 0 4651 2386 11094 9299 3273 609 1135 64688
2004
2005
2006
2007 2285 3254 4908 2435 3876 2878 345 857 1774 1016 529 941 25097 
2008 1448 1008 7933 4810 2504 821 762 2098 1190 3300 1291 3686 30851
2009 3171 3518 8155 8329 7464 2849 4788 4565 7187 3816 2363 2755 58960 
2010 1895 1867 6549 6211 1346 8453 5010 8594 8964 4273 4955 4764 62881 
2011 2070 4747 11451 6443 1527 3939 2436 2000 1181 2846 1292 3748 43680 
2012 2072 3728 8390 5822 2690 2508 3152 4451 1875 3030 2874 2080 42670 
2013 6018 5143 7002 9954 4816 7909 4735 6395 3444 2951 3712 4780 66858 
2014 4695 3858 5182 4625 2412 2854 3858 2592 4056 6998 5662 8060 54853
2015 5497 4152 6760 7625 3855 4954 4418 6995 3820 5016 4396 4872 62360 
2016 3971 10180 10014 8601 7159 10502 5654 4276 3591 3016 2673 4142 73779 
2017 5178 6226 9398 10890 4307 5357 6692 4737 2094 4103 2800 5185 66967 
2018 5877 5546 8108 13406 10568 6690 4014 6399 5978 4160 10898 6788 88432 
2019 9674 4397 11082 7485 6609 8441 5644 6121 6205 10814 4891 5838 87201 
2020 9297 6774 9185 10530 4666 8169 8117 7613 7391 6792 7272 8442 94248 
2021 6458 3622 5792 11611 8639 6883 3980 5601 10539 5441 8801 7523 84890 
