# USBR Lower Colorado Basin Annual reports: Imperial Irrigation Delivered to Storage
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965
1966
1967
1968
1969
1970 595 6147 9231 0 0 0 0 992 397 0 0 535 17897
1971
1972 0 0 0 0 0 0 0 0 0 14386 4852 1529 20767
1973 0 8271 4258 0 0 0 0 1245 0 0 794 0 14568
1974 5486 363 2574 0 0 0 2094 409 0 1202 0 3066 15194
1975
1976
1977
1978
1979 12453 0 833 0 946 0 0 522 0 6765 0 0 21519
1980 8954 4220 9088 722 287 0 0 0 0 0 0 0 23271
1981 8051 2803 8298 1599 2172 0 0 349 0 0 1397 0 24669
1982 2372 2156 16494 645 0 595 5016 3487 6850 0 1190 2405 41210
1983 10165 10130 10841 5197 4675 8606 7741 31214 7872 2999 5095 5682 110217
1984 1396 926 1279 367 928 36 6482 8668 1297 551 10172 9341 41443
1985 46 2142 1727 726 1567 4338 530 998 16249 6516 10550 4233 49622 
1986 4342 10911 9358 8628 1426 157 5732 2607 0 184 237 1363 44945
1987 0 5209 982 2121 3106 417 512 991 240 1811 1901 2205 19495
1988 1279 1237 612 2853 3918 1769 300 926 234 1229 434 3876 18667
1989 1301 925 377 930 2573 3376 2045 2636 1 10 1682 1365 17221
1990 2664 2999 3093 1300 695 2684 1039 1014 341 2779 623 484 19715
1991 3952 3416 15031 806 999 1052 1624 5784 4846 928 816 12117 51371
1992 3922 5222 24515 1115 6535 57 2995 428 1218 5433 349 10561 62350
1993 4025 5881 7319 984 1446 193 1240 926 835 323 8315 6143 37630
1994 1618 12591 19829 2898 3031 2410 653 2364 1591 1934 3116 2750 54785
1995 6000 6085 2575 6871 1045 1963 347 611 1089 2277 1289 325 30477
1996 2049 2021 2281 3124 492 851 2705 785 524 561 661 2176 18230
1997 8448 2481 3324 3832 52 2172 1450 2146 24088 706 1743 10469 60911
1998 9777 13258 13297 4514 6645 1053 682 5244 2664 3519 2356 488 63497
1999 1133 6226 3703 15146 7254 4219 16044 674 6623 2120 5494 8019 76652
2000 9261 4431 11494 3747 4356 1646 1307 6284 4594 9547 3174 0 59841
2001 11187 18292 10820 0 0 204 0 0 0 0 0 0 40503
2002 11617 5184 14303 9520 3003 7089 700 1507 10537 3681 4842 2249 74232
2003 0 0 10054 7760 0 4011 7397 0 0 7654 5381 2158 44415
2004 # No Data, for some reason USBR stopped doing this data right when it mattered
2005 1843 3988 7839 5196 7085 2064 4089 5172 2181 2608 2148 1005 45218
2006 225 930 1465 1354 927 3841 2362 1599 3050 107 0 992 16852
2007 2894 3458 2567 1782 1224 2058 1411 1210 2200 1467 800 1540 22611
2008 2474 707 5464 2887 2386 423 269 3372 850 2610 2024 3541 27007 
2009 1820 3591 2697 2830 3513 1555 1447 3345 1347 3795 1968 3351 31259  # usbr total, 2755, was completely wrong
2010 1418 3296 3745 4986 525 1637 645 1501 3138 3377 4358 1789 30415 
2011 1825 5996 4134 2578 1577 2281 946 883 3365 2120 2367 12126 40198
2012 1210 2571 3405 2234 1213 1419 3998 2974 3714 1990 2051 1639 28417 
2013 4965 1051 6527 1728 922 1638 2632 4825 2455 3331 1290 3670 35034 
2014 1627 1004 3032 1580 2619 1659 2087 2070 2235 3988 2644 2323 26868 
2015 3928 1264 7834 9957 9018 1999 5224 4759 2469 5351 3175 4003 58981 
2016 4894 3736 3806 7046 1390 2039 1762 1220 4653 238 571 2136 33491 
2017 625 5693 4122 4354 3156 3950 2541 3634 1590 1938 1954 1949 35506 
2018 1617 2414 3242 5609 3449 3292 1685 1836 2018 2291 3193 3685 34330 
2019 4469 4829 3216 1271 542 1687 1404 1689 2943 2874 5026 1172 31124 
2020 3354 2688 1603 3354 760 2774 1603 4408 4881 1690 3444 3440 33999 
2021 2740 212 181 1091 274 504 38 994 3101 1528 1696 3180 15538 
