# USBR Lower Colorado Basin Annual reports: Imperial Irrigation Excess of Treaty
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 # No Data
1966 # No Data
1967 # No Data
1968 # No Data
1969 # No Data
1970 0 4663 7805 0 0 0 0 0 0 0 0 0 12468
1971 0 0 0 0 0 0 0 0 244 0 0 0 244
1972 0 0 0 0 0 0 0 0 0 10772 0 0 10772
1973 0 851 524 0 0 0 0 248 0 0 0 0 1623
1974 1674 0 0 0 0 0 0 0 0 0 0 0 1674
1975 0 0 0 7970 0 0 0 0 0 0 0 0 7970
1976 0 629 0 8890 0 0 0 0 13285 0 0 0 22804
1977 0 0 0 0 0 0 0 29027 0 0 0 514 29541
1978 0 0 4116 0 0 0 0 0 0 2795 0 1420 8331
1979 0 0 8126 0 0 0 8481 9003 0 4134 0 0 29744
1980 9439 9781 8827 6367 7393 0 0 0 0 0 0 0 41807 
1981 0 3880 8003 190 0 0 0 8041 0 0 0 0 20114
1982 0 0 2868 0 0 0 1297 1650 1133 0 0 7629 14577
1983 0 0 3473 0 0 0 0 0 0 0 0 0 3473
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 14954 2781 0 17735
1987 0 0 0 0 0 0 0 0 0 7105 7990 3783 18878 
1988 0 7952 0 3602 0 0 0 10626 0 0 0 0 22180 
1989 13587 0 0 0 0 0 113 1537 83 50 0 0 15370
1990 436 0 0 0 0 0 0 4195 1319 335 0 0 6285
1991 4167 0 0 0 0 0 0 0 2313 0 0 801 7281 
1992 0 0 5334 5776 3630 0 0 659 0 2001 0 3584 20984 
1993 2852 536 0 0 0 0 0 0 0 0 0 0 3388 
1994 0 0 1551 0 960 0 0 855 0 0 0 2747 6113 
1995 2995 877 131 0 0 0 0 0 0 0 0 0 4003 
1996 2 2 2 2 1 2 3 2 1 2 2 2 23 
1997 0 0 0 0 0 0 155 117 0 0 0 0 272
1998 2 2 2 2 1 2 3 3 2 1 2 2 24 
1999 0 0 0 0 0 0 0 0 0 1 0 0 1 
2000 0 0 0 0 0 0 0 0 0 0 0 0 0 
2001 0 0 0 0 0 0 0 0 0 0 0 0 0 
2002 0 0 0 0 0 0 0 0 0 0 0 0 0
2003
2004
2005
2006
2007 573 157 243 391 126 414 105 505 1126 1317 119 1948 7024 
2008 5156 254 660 686 386 33 377 1679 4703 4679 2818 8437 29868 
2009 276 4984 208 1165 3917 81 45 2340 968 1549 557 6008 22097 
2010 15225 1099 9721 6402 179 335 44 802 2145 20656 1722 9875 68204 
2011 1733 10024 2674 5207 327 0 129 110 133 1334 582 3606 25858 
2012 529 244 736 1900 1637 99 6876 3697 233 4038 766 10400 31155 
2013 5151 808 794 509 591 198 2570 7365 3522 7957 1340 442 31247 
2014 703 641 917 1941 463 383 553 5956 602 6308 2686 861 22015 
2015 488 243 709 564 5331 414 833 837 368 322 257 392 10758 
2016 676 456 398 1247 1342 253 481 583 149 113 308 1708 7714 
2017 549 475 1560 490 1773 429 267 421 2963 156 405 284 9772 
2018 490 140 235 139 483 216 267 383 368 4240 677 841 8479 
2019 575 1722 1496 358 207 75 63 68 2975 1195 8117 1018 17869 
2020 607 4349 9299 5698 1227 488 433 1483 823 209 489 431 25536 
2021 1744 347 1884 37 649 88 93 1491 2016 934 369 375 10027 
