# USBR Lower Colorado Basin Annual reports: Imperial Irrigation Ordered but not Diverted
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 0 0 0 8301 0 0 0 0 0 0 0 1906 10207
1966 2208 1868 4623 0 0 0 587 0 0 9850 0 228 19364
1967 2426 0 0 1190 0 0 0 0 16042 0 6304 6158 32120
1968 0 0 6510 0 0 0 13940 0 0 0 0 0 20450
1969 9975 0 0 0 0 0 0 0 1589 0 7458 0 19022
1970 595 10975 17169 0 0 0 0 992 413 0 0 561 30705
1971 0 0 0 175 0 0 0 3570 1815 1587 0 0 7147
1972 0 0 0 0 0 0 0 0 0 25285 5001 1597 31883
1973 0 9316 4782 0 0 0 0 1652 0 0 794 0 16544
1974 8610 595 2594 0 0 0 2243 456 0 1521 0 3306 19325
1975 1041 1751 3903 20583 0 0 0 0 4756 0 0 198 32232
1976 1162 10197 1269 18413 7591 0 0 0 28150 2981 6809 1484 78056
1977 2567 579 2571 682 1555 2132 0 35340 6510 3126 0 6833 61895
1978 3400 4205 11141 0 1823 0 0 0 0 11183 10538 8694 50984
1979 12588 0 9455 198 1238 0 8864 9555 0 11318 0 0 53216
1980 18393 14039 18367 8299 8331 0 0 0 0 0 0 0 67429
1981 8051 6183 19607 2303 2513 0 0 8434 0 0 1851 0 48942
1982 2513 2914 20023 718 0 595 6313 5268 8116 0 1190 10062 57712
1983 11415 11794 15092 6183 6052 11496 10532 32767 10282 5141 5853 5954 132561
1984 1505 1503 1817 659 1095 48 6565 9126 1468 1144 11471 9892 46293
1985 60 3078 2731 2099 2216 5409 843 1496 16737 7057 11159 6528 59413
1986 5367 11179 11074 9467 1920 296 5881 4249 0 15198 3187 1664 69482
1987 781 5590 1226 2793 4108 482 716 3437 1789 9618 10903 6153 47596
1988 1331 9225 789 7006 4465 2271 496 12371 260 1529 694 4358 44795 
1989 15961 1127 809 2043 3265 3804 2616 4231 175 145 1896 1968 38040
1990 3628 3269 5201 2694 998 3267 1640 5766 2263 3882 938 835 34381
1991 9660 4604 16945 1498 1898 1246 2154 6345 8063 1309 1966 14656 70344 
1992 4354 5593 31692 6996 11419 561 5371 2495 2148 8501 1263 16622 97015
1993 7545 7131 10098 2275 2436 657 2023 1281 1144 609 9039 7103 51341 
1994 2610 13785 22923 5461 4429 3866 1079 3850 2581 3178 4221 6530 74513 
1995 11804 8759 3517 7990 1690 2473 863 1601 1660 2979 1456 430 45222 
1996 3562 4076 5312 4568 1025 1458 4481 1535 1041 712 1224 2751 31745 
1997 9168 2878 3884 4721 260 2723 2428 2836 25256 2231 2372 11677 70434 
1998 10878 14946 16592 8384 8630 2176 1484 7839 3217 4766 4457 748 84117
1999 1498 8039 4552 17687 8954 5621 17717 1432 6819 2216 5724 9612 89871 
2000 12151 4774 14957 6671 6161 4038 2856 8934 7077 11070 4654 9249 92592 
2001 12494 20591 15223 6145 5022 2586 2085 5568 6032 7095 6702 8351 97894 
2002 14313 9318 20101 12103 4758 10189 750 3461 13393 4211 5324 3074 100995
2003 5518 20051 12805 11681 0 8662 9783 11094 9299 10927 5990 3293 109103 
2004 17189 25204 12645 27410 5649 3533 5871 8368 6845 13702 9340 24074 159830 
2005 15776 22163 20304 8182 5743 2519 6443 12768 0 14542 3844 63 112347 
2006 3568 5580 23056 26970 7006 4649 9672 9471 6776 9289 5958 4998 116993 
2007 11482 13060 12250 7825 7573 8261 5110 4886 8173 5716 5916 15454 105705 
2008 18200 4586 19749 10746 9432 2753 4924 11853 16086 22203 12506 21499 154537 
2009 8955 32905 19203 18861 21299 5208 7583 13161 12012 18353 14030 21099 192668 
2010 28022 21592 38605 25260 3711 16572 8429 14177 25396 73709 23779 25470 304723 
2011 8415 45223 38702 19090 5412 6478 6676 3501 7695 11552 6881 25034 184660
2012 12882 15675 27102 18071 9334 6712 21183 18723 14327 15544 12927 18395 190873 
2013 27382 21211 30555 24344 14106 12971 25254 26718 26156 34877 22758 20343 286674
2014 29817 17615 27098 26002 21150 18135 23972 32270 27831 37612 34520 37731 333754 
2015 21448 15364 34382 26192 45491 18213 24917 18915 17800 26015 15072 19802 283611 
2016 28385 35499 37660 47956 33976 18849 28481 16120 20879 9613 10151 15379 302948 
2017 14567 24577 29244 28975 24664 17148 20587 17359 9092 10353 19168 20939 236673 
2018 28202 17641 30425 34743 25720 25235 15780 26745 19871 31845 37094 21955 315256 
2019 29779 25213 27113 17168 13820 13703 9518 15802 24096 28412 41949 17108 263681 
2020 27483 33197 32861 36778 12177 21079 15913 25307 24122 18595 21781 24552 293845
2021 23912 12888 10819 16241 14147 9622 4837 12531 31359 18683 18357 18732 192129 
