# USBR Lower Colorado Basin Annual reports: Imperial Irrigation Delivered to Mexico
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 0 0 0 0 0 0 0 0 0 0 0 0 0
1966 0 0 0 0 0 0 0 0 0 0 0 0 0
1967 0 0 0 0 0 0 0 0 0 0 0 0 0
1968 0 0 0 0 0 0 0 0 0 0 0 0 0
1969 0 0 0 0 0 0 0 0 0 0 0 0 0
1970 0 0 0 0 0 0 0 0 0 0 0 0 0
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 0 0 0 0 0 0 0 0 0
1977 0 0 0 0 0 0 0 0 0 0 0 0 0
1978 0 0 0 0 0 0 0 0 0 0 0 0 0
1979 0 0 0 0 0 0 0 0 0 0 0 0 0
1980 0 0 0 0 0 0 0 0 0 0 0 0 0
1981 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 0 0 0 0 0 0 0 0 0 0 0 0 0
1983 0 0 0 0 0 0 0 0 0 0 0 0 0
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 0 0 0 0 0 0 0 0 0 0 0 0 0
1988 0 0 0 0 0 0 0 0 0 0 0 0 0
1989 0 0 0 0 0 0 0 0 0 0 0 0 0
1990 0 0 0 0 0 0 0 0 0 0 0 0 0
1991 0 0 0 0 0 0 0 0 0 0 0 0 0
1992 0 0 0 0 0 0 0 0 0 0 0 0 0
1993 0 0 0 0 0 0 0 0 0 0 0 0 0
1994 0 0 0 0 0 0 0 0 0 0 0 0 0
1995 0 0 0 0 0 0 0 0 0 0 0 0 0
1996 0 0 0 0 0 0 0 0 0 0 0 0 0
1997 0 0 0 0 0 0 0 0 0 0 0 0 0
1998 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 0 0 0 0 0 0 0 0 0 0 0 0 0
2003 0 0 0 0 0 0 0 0 0 0 0 0 0
2004 0 0 0 0 0 0 0 0 0 0 0 0 0
2005 0 0 0 0 0 0 0 0 0 0 0 0 0
2006 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 5730 6192 4532 3216 2347 2911 3249 2315 3073 1915 4468 11025 50973 
2008 9122 2617 5692 2363 4156 1476 3516 4704 9343 11614 6373 5835 66811
2009 3688 20812 8143 6536 6405 723 1303 2911 2510 9193 9141 8985 80352 
2010 9484 15331 18591 7661 1661 6147 2729 3280 11149 45404 12744 9042 143223 
2011 2787 24456 20442 4863 1982 258 3166 507 3016 5252 2640 5554 74924 
2012 9070 9132 14572 8116 3794 2686 7158 7601 8505 6486 7236 4275 88631 
2013 11248 14209 16232 12154 7777 3226 15317 8134 16734 20637 16415 11451 153534 
2014 22792 12112 17967 17856 15656 13239 17474 21651 20938 20318 23527 26488 230017 
2015 11536 9703 19080 8049 27286 10846 14442 6324 11142 15325 7244 10536 151513 
2016 18844 21128 23442 31062 24085 6054 20583 10041 12487 6246 6598 7394 187964 
2017 8215 12184 14164 13241 15428 7411 11087 8568 2445 4156 14008 13521 124428 
2018 20218 9541 18840 15589 11221 15037 9813 18127 11508 21154 22325 10641 184014 
2019 15061 14264 11320 8053 6462 3500 2407 7924 11973 13528 23915 9079 127486 
2020 14225 19386 12773 17197 5524 9648 5760 11804 11027 9903 10575 12239 140061 
2021 12971 8707 2962 3503 4585 2147 725 4445 15703 10781 7490 7654 81675 
