# USBR Lower Colorado Basin Annual reports: Metropolitan Delivered to Storage
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 3071 1253 517 826 911 672 2219 1012 1568 2631 3701 7881 26262  # This is "ordered but not diverted" data
1966 0 0 0 0 0 291 969 1166 2560 2717 3975 1098 12776
1967 0 0 0 0 0 0 0 0 1034 0 2180 0 3214
1968 0 522 0 1334 0 0 1878 0 749 1563 2582 521 9149
1969 725 0 0 0 0 0 1935 609 0 839 1850 2533 8491
1970 2098 129 2325 117 0 0 149 2261 1819 658 0 5196 14752
1971 3582 611 2545 908 1485 2396 1566 2003 1887 1554 1880 2181 22598
1972 391 1353 566 0 0 106 0 1109 1421 766 3897 9645 19254
1973 656 0 0 552 321 149 168 828 527 1019 764 166 5150
1974 2456 272 3644 1448 913 684 1769 2452 2902 1007 0 0 17547
1975 355 2659 0 0 0 484 0 1830 0 0 0 0 5328
1976 0 0 761 533 691 2738 1348 1465 719 0 0 0 8255
1977 0 156 2927 3491 1203 982 0 3831 0 272 294 0 13156
1978 22343 0 5818 894 1425 2484 5453 1244 4452 963 611 3149 48836
1979 5512 0 0 0 0 1320 650 25 0 0 0 0 7507
1980 4175 305 0 0 2718 339 446 881 0 211 2007 0 11082
1981 2524 0 0 94 1776 138 2124 275 1102 1549 0 0 9582
1982 0 0 0 0 5491 5002 2735 0 0 0 0 0 13228
1983 1294 2451 0 16186 0 0 4013 6855 6145 6263 6691 3754 53652
1984 1438 1352 3297 5314 5517 4344 4858 5156 4278 4931 4676 3409 48570
1985 0 5096 0 0 0 2968 3780 2820 5482 5066 2491 5319 33022
1986 7258 15603 4068 3348 2172 2888 5197 4749 3528 4320 3476 3547 60154
1987 2768 1086 3534 3445 3700 2346 4082 8227 4294 4954 5101 4696 48233
1988 4285 3552 5146 2214 122 475 0 87 0 58 0 151 16090
1989 1855 2097 2122 3124 2975 3888 3749 3094 3074 1523 877 789 29167
1990 3237 3473 3949 3677 2625 2963 3059 2014 420 5 96 0 25518
1991 533 161 251 388 485 329 284 318 260 251 940 546 4746
1992 486 434 718 163 522 440 461 339 265 394 315 345 4882
1993 4749 11758 3352 2328 323 1699 1103 1721 1043 1940 1346 2388 33750
1994 2574 835 2493 2025 2389 1853 2815 2163 814 2595 2642 2172 25370
1995 5026 6736 4850 4918 2530 3585 5437 2942 392 5544 4792 1299 48051
1996 3215 1333 458 357 1839 1700 1452 1529 1230 847 3219 3348 20527
1997 232 218 352 582 250 563 369 283 405 352 271 790 4667
1998 1700 7000 1000 6800 4800 4000 2700 2300 3900 4000 1000 300 39500
1999 7300 3700 1700 3800 500 1700 300 1100 4600 5600 5000 1300 36600
2000 375 382 449 297 1345 434 409 532 289 704 339 245 5800
2001 13100 3200 6200 2400 2500 2300 1700 3700 1800 1200 3100 3900 45100
2002 3600 1000 1700 1000 500 1400 3400 1400 2300 200 900 3200 20600 # checked, diff = 900 got sum = 19700 2002_1
2003 266 52 418 40 273 175 185 335 174 522 241 230 2911
2004 8987 2706 3683 2097 375 1213 475 1668 2570 1451 4830 6366 36421
2005 1843 3988 7839 5196 7085 2064 4089 5172 2181 2608 2148 1005 45218
2006 225 930 1465 1354 927 3841 2362 1599 3050 107 0 992 16852
2007 2284 1520 568 3498 3890 4134 3887 3630 4726 2164 948 8368 39617
2008 4170 4158 3460 4871 7919 3386 1113 534 3784 3796 2279 4016 43486
2009 4073 7350 3709 11504 1907 5506 8536 8569 8918 2397 907 4935 68311
2010 1930 2008 2692 1145 1724 13553 1254 408 215 0 184 2844 27957
2011 2445 610 6007 525 6037 3861 2305 2588 800 -23 108 320 25583
2012 1955 257 -1631 3293 2342 3257 -862 -1235 -27 911 795 -74 8981
2013 -82 588 1602 -2638 2342 1988 142 -131 765 -458 1106 -1073 4151
2014 0 1197 0 657 0 13644 2372 0 133 211 0 0 18214 
2015 2314 307 3445 992 1354 2266 3689 3014 3299 5345 2593 3147 31765 
2016 4727 1276 6735 1113 3691 6010 1843 3256 4208 2735 3621 4082 43297 
2017 1635 0 3578 330 967 427 10 1176 43 1696 3464 2862 16188 
2018 3904 0 20378 8418 2370 3961 2432 6436 3271 8164 1722 6030 67086 
2019 1552 5951 457 3021 6125 1015 1144 1004 864 1714 185 2793 25825 
2020 961 337 3965 202 1975 4353 3314 9022 3816 2993 3033 4652 38623 
2021 2233 0 3360 2365 83 0 255 3513 1417 910 671 2598 17405 
