# USBR Lower Colorado Basin Annual reports: Palo Verde Diverted by Others
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 309 282 670 367 343 528 1188 686 403 236 526 244 5782 
1966 69 4 14 4 73 6 95 361 22 103 58 182 991
1967 99 309 30 0 117 26 183 208 1170 189 78 37 2446
1968 73 26 117 151 139 268 607 415 36 50 24 300 2206
1969 30 178 236 38 214 206 149 4 165 159 222 78 1679
1970 307 585 69 171 65 303 1032 750 637 283 387 119 4708 
1971 0 99 189 147 139 234 506 288 561 230 10 2 2405
1972 200 654 69 419 215 149 776 323 333 28 61 182 3408
1973 170 28 320 89 0 40 234 127 353 125 391 143 2020
1974 226 474 391 190 163 236 559 411 246 177 173 551 3797
1975 829 391 700 855 506 204 438 347 569 0 633 337 5809
1976 182 662 498 867 452 184 212 619 355 272 242 353 4898
1977 135 847 407 290 95 149 224 347 54 256 377 282 3463
1978 12 153 561 805 857 373 266 450 480 708 534 934 6133
1979 0 250 746 391 375 208 516 109 167 296 1236 165 4459
1980 268 171 492 274 353 4 851 117 186 639 415 81 3851
1981 278 95 230 238 194 454 633 177 175 65 16 22 2577
1982 101 73 466 274 101 228 335 1059 732 823 1103 1398 6693 
1983 85 1160 895 2535 752 853 2279 1908 813 1710 591 393 13974
1984 125 1103 795 617 585 843 833 849 1527 672 1333 641 9923  # $85
1985 409 424 367 559 397 793 1706 7716 1688 498 1037 175 15769 
1986 75 1135 1650 381 926 476 605 347 1053 902 244 750 8544 
1987 230 424 492 496 843 992 674 1597 825 399 327 210 7509
1988 409 647 421 901 2101 3191 702 948 1406 369 1022 1319 13436
1989 551 803 1906 2045 1359 1321 1392 460 2545 934 432 381 14129
1990 171 605 3614 238 177 260 595 645 1091 1035 522 446 9399
1991 139 300 230 28 752 1700 1262 1414 2386 799 532 93 9635 
1992 488 194 214 526 668 631 1176 668 845 18 843 10 6281
1993 1325 36 524 1148 1859 2263 559 859 645 103 549 490 10360 
1994 434 210 246 1099 1371 2168 3082 1864 1902 538 56 16 12986 
1995 113 18 756 1888 2696 3775 3564 3898 1968 161 492 926 20255
1996 476 54 480 579 819 286 776 3513 1716 242 244 244 9429 
1997 393 1109 1071 914 1595 1388 2051 6964 1728 926 216 930 19285 
1998 1519 3009 998 395 754 379 349 498 2146 2269 670 551 13537 
1999 1579 589 500 403 1402 1892 1658 157 2469 1315 1626 1315 14905
2000 238 1144 357 210 63 363 337 2323 2555 994 976 1876 11436
2001 748 81 1240 2817 2043 1180 2817 8529 7178 2297 1704 99 30733
2002 674 498 393 1037 2717 1426 2319 1242 1684 1327 0 244 13561
2003 8025 2380 198 535 3773 1655 986 694 456 101 1855 591 21249
2004
2005 0 0 0 0 0 0 0 0 0 0 0 0 0 
2006
2007 228 310 821 591 317 539 310 198 295 159 406 191 4366 
2008 146 193 261 231 69 794 1374 435 225 123 146 440 4437
2009 606 330 503 159 548 535 781 462 893 157 159 257 5389 
2010 281 345 200 239 366 192 210 523 301 19 140 15 2832 
2011 325 277 271 55 7 713 672 454 322 490 517 126 4229 
2012 83 81 94 149 71 280 169 164 608 101 49 32 1882 
2013 58 41 179 296 4 27 52 82 207 52 372 54 1423
2014 14 158 255 110 153 150 172 44 380 139 118 143 1836 
2015 92 0 369 1109 217 471 158 533 132 31 396 234 3742 
2016 88 525 448 374 471 710 350 849 117 495 323 188 4938 
2017 346 326 887 373 597 757 243 353 373 177 65 81 4578 
2018 51 473 742 229 853 684 654 496 1128 496 294 101 6201 
2019 177 369 844 1554 944 1755 1818 1446 1591 869 187 171 11725 
2020 563 930 540 741 1724 499 325 832 1018 762 230 172 8336 
2021 495 491 395 480 145 0 105 0 35 46 90 208 2491 
