# USBR Lower Colorado Basin Annual reports: Palo Verde Delivered to Storage
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965
1966
1967
1968
1969
1970 1214 1045 1541 805 2428 1016 1293 4193 2307 1906 1519 732 19999
1971 883 786 1319 1706 2737 1363 272 6355 1492 996 1375 1579 20863
1972 2117 1710 405 1190 2015 1434 1769 3533 2729 1605 2273 2184 22964
1973 1466 3047 2767 776 1365 583 990 2595 2626 1855 2864 1509 22443
1974 1069 1055 2259 514 1047 1660 1392 2711 2368 2752 1289 2440 20556
1975 1525 1127 1805 1371 1672 1283 2815 2392 3630 2662 3334 2757 26373
1976 978 3416 2322 2474 5270 1423 3049 1831 3281 1551 2035 1420 29050
1977 1033 1846 1360 1136 766 293 1170 996 3328 2346 2941 450 17667
1978 2160 1244 1795 1987 4362 1333 2086 3418 1863 2397 5536 3406 31587
1979 722 458 678 1009 833 1053 1482 252 386 71 1656 1106 9706
1980 160 136 332 728 95 541 714 819 258 357 404 36 4580
1981 565 10 702 539 266 970 716 1233 119 480 42 97 5739
1982 448 496 545 565 423 885 435 1918 2035 893 1809 669 11121
1983 655 837 882 3485 934 430 6415 5619 2486 2687 839 787 26056
1984 3979 3285 4067 4828 3342 3610 5161 3901 3212 4832 2469 1791 44477
1985 662 1899 2557 3081 922 2218 4602 1497 3693 748 1294 1902 25075
1986 515 483 239 237 245 8 215 245 68 83 415 387 3140
1987 1091 794 1244 2630 2588 2521 8139 4504 2819 960 1756 1244 30290
1988 2056 3806 1186 1335 1747 2730 766 2127 1772 1855 1485 2803 23668
1989 427 760 216 1079 1616 2567 2282 1755 -1 369 445 408 11923
1990 228 99 1632 159 166 170 551 1203 1067 1058 813 1056 8202
1991 318 186 258 141 458 4032 2169 1722 1799 798 222 736 12839
1992 416 312 704 0 722 341 460 629 682 10 367 36 4679
1993 7051 35 617 653 497 435 552 1353 307 16 308 865 12689
1994 584 228 244 1353 1299 2196 3384 1264 1069 349 128 284 12382
1995 415 277 1108 1089 3135 2215 681 567 531 1352 976 645 12991
1996 557 40 192 490 171 565 710 1999 1125 766 724 908 8247
1997 1137 379 996 448 920 1743 817 2666 2628 498 186 974 13392
1998 464 7480 3324 119 395 393 248 1146 1898 6073 331 34 21905
1999 3263 248 2525 1408 2168 3116 2586 300 2692 839 1218 1176 21539 
2000 940 419 179 424 393 54 179 1704 2106 823 543 0 7764
2001 2051 405 1490 0 0 30 0 0 0 0 0 0 3976 
2002 1672 730 458 1482 1706 974 3512 503 0 0 0 0 11037
2003 0 0 0 2172 0 805 2735 0 0 159 7813 599 14283
2004
2005 1843 3988 7839 5196 7085 2064 4089 5172 2181 2608 2148 1005 45218
2006 225 930 1465 1354 927 3841 2362 1599 3050 107 0 992 16852
2007 53 208 323 227 0 129 221 59 354 215 59 3 1852
2008 260 79 157 165 25 117 343 291 177 37 88 97 1836
2009 129 201 4 21 262 80 329 97 215 133 91 162 1724  # Total 257 very wrong diff = 1467 expected =  257  got =  1724
2010 144 27 1 96 75 138 25 41 123 26 108 39 843
2011 37 40 65 0 215 564 247 198 188 75 150 205 1983 
2012 25 0 10 39 0 33 132 17 159 82 18 40 555 
2013 23 5 0 28 0 53 129 182 280 74 39 129 941 
2014 0 4 71 164 69 42 68 128 108 199 58 9 919 
2015 52 0 4 712 451 214 124 139 149 123 314 454 2736 
2016 11 226 337 418 205 282 152 448 55 47 23 149 2353 
2017 8 250 296 184 151 273 93 149 9 124 87 95 1719 
2018 17 184 88 103 317 208 322 283 298 244 164 50 2277 
2019 45 169 159 211 207 208 247 456 201 323 228 22 2477 
2020 242 192 138 42 254 125 1 421 248 209 103 80 2056 
2021 116 6 13 106 1 0 0 0 2 14 0 127 386 
