# USBR Lower Colorado Basin Annual reports: Palo Verde Excess of Treaty
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965
1966
1967
1968
1969
1970 0 853 2220 0 0 0 0 0 0 0 0 0 3073
1971
1972 0 0 0 0 0 0 0 0 0 3925 0 0 3925
1973 0 349 428 0 0 0 0 0 0 0 0 0 777
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975
1976 0 240 0 2120 0 0 0 0 5242 0 0 0 7602
1977 0 0 0 0 0 0 0 2239 0 0 0 54 2293
1978
1979 0 0 42 0 0 0 327 583 0 0 0 0 952
1980 44 0 184 111 30 0 0 0 0 0 0 0 369
1981 0 0 0 34 0 0 0 0 0 0 0 0 34 
1982 0 0 26 0 0 0 0 52 75 0 0 377 530
1983 0 0 220 0 0 0 0 0 0 0 0 0 220
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0 
1986 0 0 0 0 0 0 0 0 0 0 0 0 0 
1987 0 0 0 0 0 0 0 0 0 119 0 186 305 
1988 0 448 0 551 357 0 0 3465 0 0 0 0 4821 
1989 879 534 0 0 0 0 75 879 530 220 0 0 3115
1990 77 0 0 0 0 0 0 502 232 105 0 0 916
1991 180 0 0 0 0 0 0 0 93 0 0 28 301 
1992 0 0 42 0 177 0 0 266 0 65 0 2 552 
1993 0 14 0 0 0 0 0 0 0 0 0 0 14 
1994 0 0 0 0 139 0 0 105 24 0 0 0 268 
1995 93 8 0 0 0 0 0 77 0 0 0 0 178
1996 2 1 2 2 2 2 2 2 1 2 2 2 22 
1997 0 0 0 0 0 0 105 286 0 0 0 0 391 
1998 2 2 2 2 1 2 2 2 2 3 3 2 25 
1999 0 0 0 0 0 0 1 1 0 0 0 0 0 
2000 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 0 0 0 0 0 0 0 0 0 0 0 0 0 
2002 0 0 0 0 0 0 0 0 0 0 0 0 0 
2003
2004
2005 0 0 0 0 0 0 0 0 0 0 0 0 0
2006
2007 125 2 21 34 0 22 19 1 54 103 11 10 403 
2008 109 1 33 26 27 8 10 78 106 100 75 96 669 
2009 54 82 5 4 130 3 8 191 191 91 33 117 907 
2010 429 6 5 35 16 2 11 13 2 75 42 92 728 
2011 9 81 24 44 1 0 5 2 13 64 123 151 515 
2012 11 0 13 88 9 24 976 212 27 197 8 316 1880 
2013 78 4 0 11 2 0 294 154 440 176 31 13 1204
2014 2 2 15 1 57 9 21 276 71 198 19 5 676 
2015 4 0 1 17 135 52 27 37 24 7 83 8 395 
2016 20 16 11 27 54 5 8 70 2 1 12 30 256 
2017 15 5 101 11 26 5 13 30 19 3 0 10 238
2018 3 3 12 0 2 3 8 12 8 30 4 32 117 
2019 8 14 32 30 9 15 1 42 236 186 96 81 750 
2020 25 251 602 144 184 4 0 146 36 53 15 1 1461 
2021 6 1 12 1 0 0 1 0 38 1 3 0 64 
