# USBR Lower Colorado Basin Annual reports: Palo Verde Ordered but not Diverted
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 165 992 2594 3590 1666 1299 684 2321 1906 1269 1716 2112 20314
1966 1726 635 2142 1012 575 536 1434 1422 2055 2929 1492 962 16920
1967 1606 2023 2690 1250 2648 740 867 5018 4609 1833 2101 1501 26886
1968 914 549 2577 1117 2174 1194 3957 2787 2761 1813 1315 1111 22269
1969 2509 904 1646 918 2745 1573 2870 1622 3699 1210 2481 1141 23318
1970 1521 2483 3830 976 2493 1319 2325 4943 2944 2189 1906 851 27780
1971 883 885 1508 1853 2876 1597 778 6643 3078 1244 1385 1581 24311
1972 2317 2364 474 1609 2229 1583 2545 3856 3062 5558 2334 2366 30297
1973 1636 3424 3515 865 1365 623 1224 2722 2979 1980 3255 1652 25240
1974 1295 1529 2650 704 1210 1896 1951 3122 2614 2929 1462 2991 24353
1975 2354 1518 2505 3261 2178 1478 3253 2739 4199 2662 3967 3094 33217 # checked, diff = -9 expected =  33217  got =  33208
1976 1160 4318 2820 5462 5722 1607 3261 2450 8878 1823 2277 1773 41550 
1977 1168 2693 1767 1426 863 442 1394 3582 3382 2602 3318 786 23423
1978 2172 1621 2870 2792 5219 1706 2352 3868 2343 3664 6070 5036 39713
1979 722 708 1466 1400 1208 1261 2325 944 553 367 2892 1271 15117
1980 472 307 1008 1113 478 545 1565 936 444 996 819 117 8800
1981 843 105 932 831 460 1424 1349 1410 294 545 58 119 8370
1982 549 569 1037 839 524 1113 770 3029 2842 1716 2912 2444 18344
1983 740 1997 1997 6020 1686 1283 8694 7527 3299 4397 1430 1180 40250
1984 4104 4388 4862 5445 3927 4453 5994 4750 4739 5504 3802 2432 54400 
1985 1071 2323 2924 3640 1319 3011 6308 9213 5381 1246 2331 2077 40844
1986 2834 4058 3027 3257 6726 4693 3630 3792 4663 2967 1968 2360 43975 
1987 1321 1218 1736 3126 3431 3513 8813 6101 3644 1478 2083 1640 38104 
1988 2465 4901 1607 2787 4205 5921 1468 6540 3178 2224 2507 4122 41925 
1989 1855 2097 2122 3124 2975 3888 3749 3094 3074 1523 877 789 29167 
1990 476 704 5246 397 343 430 1146 2350 2390 2198 1335 1502 18517
1991 637 486 488 169 1210 5732 3431 3136 4278 1597 754 857 22775 
1992 904 506 960 526 1567 972 1636 1563 1527 93 1210 48 11512
1993 8376 85 1141 1801 2356 2698 1111 2212 952 119 857 1355 23063 
1994 1018 438 490 2452 2809 4364 6466 3233 2995 887 184 300 25636 
1995 621 303 1864 2977 5831 5990 4245 4542 2499 1513 1468 1571 33424 
1996 3215 1333 458 357 1839 1700 1452 1529 1230 847 3219 3348 20527 
1997 1531 1490 2069 1365 2517 3134 2975 9918 4358 1426 405 1906 33094 
1998 1985 10491 4324 516 1150 774 599 1646 4046 8345 1004 587 35467 
1999 4842 837 3025 1811 3570 5008 4245 456 5161 2154 2844 2491 36444
2000 1178 1563 536 634 456 417 516 4027 4661 1817 1519 1876 19200 
2001 2799 486 2729 2817 2043 1210 2817 8529 7178 2297 1704 99 34708
2002 2346 1228 851 2519 4423 2400 5831 1745 1684 1327 0 244 24598
2003 8025 2380 198 2707 3773 2460 3721 694 456 260 9668 1190 35532 
2004 2850 871 674 774 1547 417 972 2678 2658 2842 1956 1127 19366 
2005 0 0 0 1210 0 0 37201 486 0 0 83 1043 40023 
2006 1565 1095 16471 113 1388 1349 1210 1018 2586 1293 1662 3322 33072
2007 819 871 1460 1853 317 774 992 436 972 801 857 282 10433 
2008 1156 298 877 615 237 1547 2519 1111 952 995 847 756 11910
2009 1367 998 831 258 1269 635 1525 893 1726 859 659 1055 12073 
2010 1363 553 292 698 825 436 317 996 595 470 835 393 7773 
2011 413 490 609 99 258 1557 1662 665 714 1113 1079 674 9333 
2012 502 119 377 413 327 357 1543 674 1111 605 141 595 6763 
2013 395 244 179 823 30 79 1150 744 1745 712 772 417 7289 
2014 97 292 690 833 1031 337 1051 1706 1033 1014 533 319 8937 
2015 266 0 516 2717 2023 813 1200 793 476 389 1390 944 11527 
2016 575 1375 1761 1686 1488 1379 1369 2103 311 662 468 532 13709 
2017 440 797 1392 899 1039 1260 873 912 524 559 315 361 9371 
2018 204 968 1135 484 1289 1349 1408 1329 1646 906 692 363 11773 
2019 446 877 1176 2723 1369 2400 2519 2618 2797 2065 1002 305 20297 
2020 1035 2823 1611 1575 2757 932 397 1825 1904 1676 629 464 17628 
2021 2735 1234 472 621 198 0 113 0 248 61 119 422 6224 
