# USBR Lower Colorado Basin Annual reports: Palo Verde Delivered to Mexico
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 0 0 0 0 0 0 0 0 0 0 0 0 0
1966 0 0 0 0 0 0 0 0 0 0 0 0 0
1967 0 0 0 0 0 0 0 0 0 0 0 0 0
1968 0 0 0 0 0 0 0 0 0 0 0 0 0
1969 0 0 0 0 0 0 0 0 0 0 0 0 0
1970 0 0 0 0 0 0 0 0 0 0 0 0 0
1971 0 0 0 0 0 0 0 0 0 0 0 0 0
1972 0 0 0 0 0 0 0 0 0 0 0 0 0
1973 0 0 0 0 0 0 0 0 0 0 0 0 0
1974 0 0 0 0 0 0 0 0 0 0 0 0 0
1975 0 0 0 0 0 0 0 0 0 0 0 0 0
1976 0 0 0 0 0 0 0 0 0 0 0 0 0
1977 0 0 0 0 0 0 0 0 0 0 0 0 0
1978 0 0 0 0 0 0 0 0 0 0 0 0 0
1979 0 0 0 0 0 0 0 0 0 0 0 0 0
1980 0 0 0 0 0 0 0 0 0 0 0 0 0
1981 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 0 0 0 0 0 0 0 0 0 0 0 0 0
1983 0 0 0 0 0 0 0 0 0 0 0 0 0
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 0 0 0 0 0 0 0 0 0 0 0 0 0
1988 0 0 0 0 0 0 0 0 0 0 0 0 0
1989 0 0 0 0 0 0 0 0 0 0 0 0 0
1990 0 0 0 0 0 0 0 0 0 0 0 0 0
1991 0 0 0 0 0 0 0 0 0 0 0 0 0
1992 0 0 0 0 0 0 0 0 0 0 0 0 0
1993 0 0 0 0 0 0 0 0 0 0 0 0 0
1994 0 0 0 0 0 0 0 0 0 0 0 0 0
1995 0 0 0 0 0 0 0 0 0 0 0 0 0
1996 0 0 0 0 0 0 0 0 0 0 0 0 0
1997 0 0 0 0 0 0 0 0 0 0 0 0 0
1998 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 0 0 0 0 0 0 0 0 0 0 0 0 0
2003 0 0 0 0 0 0 0 0 0 0 0 0 0
2004 0 0 0 0 0 0 0 0 0 0 0 0 0
2005 0 0 0 0 0 0 0 0 0 0 0 0 0
2006 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 414 350 295 1000 0 83 442 178 270 323 381 77 3813 
2008 641 25 426 193 116 628 792 307 444 735 538 123 4968 
2009 577 385 319 75 329 17 408 142 426 478 376 520 4052 
2010 508 175 85 329 368 104 72 419 168 350 545 246 3370 
2011 42 92 252 0 34 281 738 11 190 484 289 192 2605
2012 383 38 260 137 247 20 267 281 317 225 66 207 2446 
2013 236 194 0 488 23 0 676 326 819 410 329 221 3722 
2014 81 128 349 559 752 136 791 1257 475 477 339 162 5506 
2015 118 0 142 878 1221 78 891 84 171 228 598 247 4656 
2016 456 607 966 866 757 383 858 735 137 120 111 165 6161
2017 71 215 109 331 266 224 524 381 123 256 163 175 2838 
2018 133 309 293 151 118 455 425 538 212 137 230 180 3181 
2019 217 326 141 929 208 422 453 674 768 687 490 32 5347 
2020 205 1450 330 648 595 304 70 425 603 652 280 211 5773 
2021 2118 735 51 34 52 0 7 0 173 0 26 86 3283 
