# USBR Lower Colorado Basin Annual reports: California Totals Diverted by Others
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 309 593 862 1524 432 1117 1275 876 562 393 1808 485 10236
1966 194 1272 2313 797 1519 544 1238 867 506 1265 1082 843 12440
1967
1968
1969
1970 611 1142 571 631 995 747 1778 1903 1008 670 1087 11887
1971
1972 1426 1265 620 1514 1590 1436 1121 2001 726 710 708 825 13942
1973
1974 2092 928 693 991 510 548 1019 1579 696 690 500 1710 11956
1975 2120 654 1236 1984 750 696 1106 1206 1208 415 1075 774 13224
1976
1977
1978
1979 1827 1722 2515 1416 1514 870 2946 1672 1274 1086 1904 681 19427 
1980
1981 1579 446 5602 1803 2149 1620 1757 721 1141 632 1585 976 20011
1982 780 1799 1883 918 783 788 367 1632 2136 1549 2232 3259 18126 
1983
1984 2136 3517 2682 2248 2942 3515 2261 2285 3436 2717 5124 2532 35395 
1985 1735 2740 2920 2721 2363 3568 4126 9269 4029 1997 2801 4898 43167
1986 2544 3652 4923 2539 4135 2648 1736 3080 2599 2827 2327 3350 36360 
1987 3137 2398 3694 2438 4071 2210 2379 6225 3457 2270 4101 1691 38071
1988 3533 1960 1835 2966 4167 5179 2937 2344 1722 1264 3006 2669 33582
1989 2003 1614 3879 3976 3072 2106 2151 1229 3223 1257 1928 2789 29227
1990 1913 2623 6576 2398 1010 1386 1631 2905 2071 2220 1468 2680 28881
1991 2561 2619 3368 1262 2223 2130 2462 3171 4522 1615 3108 2902 31943 
1992 1585 1436 3100 1526 3445 2744 4061 3460 2225 2127 3677 4754 34140
1993 3062 1737 3702 2911 3798 3631 2719 2769 1818 785 2759 2264 31955 
1994
1995 3736 4711 1986 3263 4362 6134 5961 6639 3146 1117 1806 2697 45558 
1996 3972 3315 3952 2302 2557 2363 3612 6030 3274 829 2424 2380 37010
1997 2182 2637 2245 2382 3301 4162 4948 8816 3428 3068 2932 6492 46593
1998 5081 6423 5235 5475 4079 3176 2580 4526 4342 3837 4071 3411 52236 
1999 4418 3987 2402 4122 4239 4788 4921 2141 4151 2751 3746 5098 46764 
2000 4310 3308 4469 3979 4119 3953 3150 6169 6123 3628 4130 15370 62708 
2001 3033 3227 7053 10435 9250 4409 7718 16413 15904 10088 9812 9473 106815 
2002 4013 5293 6873 4661 5720 6180 4305 5265 5593 2422 1364 2190 53879 
2003 19067 27760 5024 5819 7226 8353 4673 15567 10610 3965 6177 5185 119426 
2004 0 0 0 0 0 0 0 0 0 0 0 0 0
2005 0 0 0 0 0 0 0 0 0 0 0 0 0 
2006 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 3897 5321 6688 5318 6310 4509 2381 3380 4703 1734 2635 4419 51294 
2008 2897 3057 10267 7122 4100 4774 6348 5454 4266 4061 3501 7864 63711 
2009 6421 4990 10050 10170 9339 7206 8403 8102 10449 4928 3956 5031 89045 
2010 2783 2932 9491 8898 5874 15271 9951 14529 13434 4947 7774 10793 106676 
2011 4848 7000 12568 8270 5993 8117 6770 4178 4462 6175 4288 6760 79430 
2012 4528 6482 9791 8111 4793 5770 4351 6394 4079 3741 4904 5805 68749 
2013 7771 6465 7656 10611 6568 9218 5812 7354 4482 3428 5311 7878 82552
2014 6101 5005 6108 5570 3938 4783 5065 3269 5912 8064 6486 10582 70884 
2015 8726 5505 8242 9846 5024 6358 6466 8400 8597 6568 7908 8669 90309 
2016 5073 11370 11711 9425 8793 12730 7164 6454 5677 6257 7127 7633 99414
2017 8932 8524 11127 12031 8209 7581 9352 6504 5634 6071 5670 8705 98340 
2018 8241 7486 9828 14684 14663 9797 5832 9470 9317 6792 13012 8838 117960 
2019 11665 6146 13085 10210 10499 11856 11560 8731 9419 12975 6238 8552 120936 
2020 11702 9380 10576 12004 9924 10176 10487 9268 9364 8558 8051 10330 119820 
2021 8149 5977 8277 13027 10384 8632 5757 6423 11520 6640 11155 9879 105821 
