# USBR Lower Colorado Basin Annual reports: California Totals Delivered to Storage
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965
1966
1967
1968
1969
1970 4230 7779 13619 1354 2787 1671 1547 8489 5332 3288 2110 6939 59145
1971
1972 3374 3349 1078 1446 2313 2135 2207 5181 4374 17384 11631 13469 67941
1973
1974
1975 2167 5508 5833 13643 2069 1912 3049 4601 8187 3191 3750 3512 57422
1976
1977
1978
1979 20922 1091 2451 1114 2640 2486 2688 1358 1280 9002 1950 1934 48916
1980
1981
1982 3922 3269 20327 1305 6541 7308 8838 8565 10198 1964 6444 4606 83287
1983 15236 16729 14185 26708 7267 10732 20122 51590 18022 12525 14129 12167 219422
1984 7598 5689 9090 11837 11090 8756 22830 20839 9776 10919 20002 18171 156597
1985 1344 9741 5557 4153 3380 10284 9135 5614 27792 12699 17843 12706 120248
1986 15410 31365 16277 15528 9858 7272 14406 11638 7285 5755 5996 7525 148315
1987 4113 8249 6727 9195 10959 5846 12938 14492 7485 8147 10254 10253 108658
1988 9074 9676 7171 8801 7060 6102 1933 3539 2825 4156 3662 8654 72653
1989 2620 2521 918 2942 5998 6728 4913 6861 72 604 3461 3202 40840
1990 8966 7677 8966 5384 4127 6036 4785 5857 2175 4500 3134 3281 64887
1991 6646 4857 19411 1517 2392 6506 5537 9857 8301 2365 2839 18116 88344
1992 5801 9562 28290 1656 9029 1526 4377 2036 2350 6453 1808 14848 87736
1993 20085 20222 11599 4050 3062 2395 3561 5312 2814 2434 12406 10545 98485
1994 6111 16007 23670 6837 8382 7280 8765 6399 3951 5890 8430 7780 109502
1995 13693 14445 10255 13880 8228 8456 6992 4601 2551 10167 9712 3969 106949
1996 9680 5767 10581 12041 4994 3617 6101 4701 3142 3163 9007 11689 84483
1997 12585 3505 5436 5645 2717 5960 3943 5869 30497 2079 4132 15121 97489
1998 14269 29626 18178 11739 12906 6547 4088 9730 9757 14207 5069 1362 137478
1999 12364 11618 10822 22978 11862 12237 21055 2991 16368 9297 13082 11806 156480 
2000 13010 6645 12822 5156 7814 2477 2365 10781 8288 13426 5611 245 88640
2001 29764 24524 21071 2400 2635 2744 1700 3700 1800 1991 5274 3900 101503 
2002 19257 8165 18260 13920 6278 10425 8937 4285 14329 5486 9085 5631 124058
2003 266 52 10472 11711 273 6338 14038 335 174 9309 24360 5865 83193
2004 8987 2706 3683 2097 375 1213 475 1668 2570 1451 4830 6366 36421
2005 1843 3988 7839 5196 7085 2064 4089 5172 2181 2608 2148 1005 45218
2006 225 930 1465 1354 927 3841 2362 1599 3050 107 0 992 16852
2007 5966 6205 4526 6451 5371 6866 6714 5766 8220 4228 2291 11018 73622
2008 8198 5858 10064 8496 11977 4752 2246 5282 5456 6776 5625 9403 84133 
2009 6985 11834 6461 14802 5989 8044 10921 12353 10836 6734 4159 10185 73342  # checked, diff = 35961 expected =  73342  got =  109303
2010 4494 5865 7250 7565 2743 15938 2610 2211 4670 3916 6418 5562 69243 
2011 5428 7671 10410 3247 8591 7480 4385 4113 6683 3336 4079 14987 80410 
2012 4837 3428 2120 5946 4067 5226 3593 2267 4896 3363 3517 2191 45451 
2013 6155 1835 8414 -832 3461 3761 3302 5327 4175 3174 2730 3805 45307 
2014 2491 2379 3618 2706 3807 15692 4852 2509 3196 5272 3074 2946 52542 
2015 7907 1970 11844 12306 12663 4947 10762 8480 7491 12355 7851 10006 108582 
2016 11543 5574 11554 9912 5924 8964 4101 5333 11246 3346 4851 9351 91699 
2017 2706 6912 8392 5123 5091 5563 3676 5940 2150 4426 6638 6263 62878
2018 6333 3101 24160 14521 7218 8467 4951 9108 6625 11364 5980 10681 112508 
2019 7500 11854 3999 4827 7218 3187 3179 3516 4505 5334 6549 4737 66405 
2020 5095 3601 5992 3856 3488 7537 5057 14016 9526 5137 6786 9375 79466 
2021 5959 272 3601 3723 376 507 310 4550 4652 2986 3084 7065 37086 
