# USBR Lower Colorado Basin Annual reports: California Totals Excess of Treaty
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965
1966
1967
1968
1969
1970 0 5665 10372 0 0 0 0 0 0 0 0 0 16037
1971 0 0 0 0 0 0 0 0 1338 167 0 0 1505
1972 0 0 0 0 0 0 0 0 0 14927 0 0 14927
1973 0 1248 1008 0 0 0 0 250 0 0 0 0 2506
1974 1811 0 0 0 0 0 0 0 0 0 0 0 1811
1975 0 0 0 9187 0 0 0 0 0 0 0 0 9187
1976 0 902 0 11185 0 0 0 0 22619 0 0 0 34705
1977 0 0 0 0 0 0 0 35379 0 0 0 807 36186
1978 0 224 5503 0 0 0 0 0 0 4127 0 2447 12301
1979 0 0 8924 0 0 0 10242 13091 0 4249 0 0 36506
1980 10150 11073 9239 6555 8939 0 0 0 0 0 0 0 45956
1981 0 4164 9387 424 0 0 0 9152 0 0 0 0 23127
1982 0 0 3392 0 0 0 1362 2178 1222 0 0 8750 16904 
1983 0 0 3473 0 0 0 0 0 0 0 0 0 3473
1984 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 0 0 0 0 0 0 0 0 0 0 0 0 0 
1986 0 0 0 0 0 0 0 0 0 14954 2781 0 17735
1987 0 0 0 0 0 0 0 0 0 7335 8307 4040 19682 
1988 0 9325 0 5028 472 0 0 17820 0 0 0 0 32645
1989 15962 705 0 0 0 0 868 3449 615 486 0 0 22085 
1990 944 0 0 0 0 0 0 6072 1835 452 0 0 9303
1991 5346 0 0 0 0 0 0 0 2616 0 0 1081 9043 
1992 0 0 6310 7236 3978 0 0 1226 0 2419 0 4498 25667 
1993 4463 736 0 0 0 0 0 0 0 0 0 0 5199
1994 0 0 1601 0 1162 0 0 1014 84 0 0 4017 7878
1995 4064 954 313 0 0 0 0 83 0 0 0 0 5414 
1996 8 8 7 8 8 8 10 8 5 8 7 8 93 
1997 0 0 0 0 0 0 518 427 0 0 0 0 945
1998 10 6 8 7 5 8 9 8 8 7 9 8 93 
1999 0 -1 0 1 -1 -1 1 -2 0 1 0 0 -2
2000 0 0 0 0 0 0 0 0 0 0 0 0 0 
2001 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 0 0 0 0 0 0 0 0 0 0 0 0 0 
2003 0 0 0 0 0 0 0 0 0 0 0 0 0
2004 0 0 0 0 0 0 0 0 0 0 0 0 0
2005 0 0 0 0 0 0 0 0 0 0 0 0 0
2006 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 1036 210 346 671 149 486 197 612 1771 1691 184 2608 9961
2008 6915 399 811 895 782 89 656 2734 5476 5413 5103 11283 40556 
2009 530 6364 229 1420 4291 343 146 2831 1811 1809 749 7710 28233 
2010 18476 1180 11215 7912 647 431 67 1109 2709 23567 2527 16182 86022 
2011 3739 11716 2894 5850 634 23 264 168 531 1746 936 4956 33457 
2012 696 316 850 2233 1983 221 8492 4411 561 5508 1030 14852 41152 
2013 7366 1070 859 549 665 239 3388 9984 4701 8963 1720 656 40159 
2014 958 768 1051 2020 671 443 720 7183 1084 7744 3074 1093 26810 
2015 774 271 792 690 6227 588 1004 946 554 398 478 566 13288 
2016 862 511 437 1443 1523 295 540 742 225 144 478 2937 10137 
2017 840 554 1726 521 1944 509 325 543 4561 335 541 390 12789
2018 596 154 265 146 575 253 330 458 494 4818 763 1332 10184 
2019 635 1835 1541 435 276 99 159 155 3524 1690 10617 1956 22922 
2020 714 5180 11878 6383 1700 510 453 1804 929 285 514 470 30820
2021 2383 437 2222 38 672 92 99 1520 2183 1041 445 470 11603 
