# USBR Lower Colorado Basin Annual reports: California Totals Ordered but not Diverted
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1965 3706 2703 5208 17071 3775 5329 4454 5102 4604 4721 9856 13506 80035
1966 4531 2997 8455 2379 2390 1960 4507 4903 6515 17904 7669 3571 67781
1967 6376 2388 3128 2759 3467 1626 2095 6012 23042 2325 12086 8525 73829
1968 1438 1258 9509 3383 3342 1910 21439 4588 4407 3604 5297 2265 62440
1969 14837 1366 2261 1472 3802 2305 6263 3931 5907 3288 12904 4305 62641
1970 4841 14586 24562 1985 3782 2418 3325 10392 6340 3958 3197 7683 87069
1971 5316 2313 5080 4134 6346 5413 3641 15725 8097 6981 4874 6515 74435
1972 4800 4614 1698 2960 3903 3571 3328 7182 5100 33021 12339 14294 96810
1973 2883 13847 9148 1816 2953 2365 2913 5995 4374 4030 5353 2417 58094
1974 13210 2701 9650 3019 2849 3096 6566 7436 6137 5786 2005 7549 70004
1975 4267 6162 7069 24814 2819 2608 4155 5807 9395 3606 4825 4286 79833
1976 3151 16011 5858 26192 15985 5155 6120 4213 45260 7422 11057 4925 151383
1977 6307 5029 9502 6360 5715 3818 2106 50316 12554 7573 4576 9843 123700 # June illegible
1978 30954 7099 25220 5838 9195 4509 9892 6774 9650 19305 19560 19604 167600
1979 22749 2813 13890 2530 4154 3356 15876 16121 2554 14337 3854 2615 104849
1980 25988 21901 20876 10180 15957 1215 3612 6474 2100 2012 4545 1653 116513
1981 18261 7131 25740 5747 8526 3819 5139 13164 4122 3266 3563 1770 100248
1982 4702 5068 25602 2223 7324 8096 10567 12375 13556 3513 8676 16615 118317 
1983 17633 20606 21734 30663 10233 16670 25820 57518 22277 17545 16968 14030 271697
1984 9734 9206 11772 14085 14032 12271 25091 23124 13212 13636 25126 20703 191992
1985 3079 12481 8477 6874 5743 13852 13261 14881 31821 14696 20644 17604 163413
1986 17954 35017 21230 18067 13993 9920 16142 14718 9884 25857 12074 10875 205731
1987 7250 10647 10421 11633 15030 8056 15317 20717 10942 18121 23352 16524 168010 
1988 12607 20961 9006 16795 11699 11281 4870 23703 4547 5420 6668 11323 138880 
1989 20585 4840 4797 6918 9070 8834 7932 11539 3910 2347 5389 5991 92152 
1990 11823 10300 15542 7781 5137 7422 6416 14834 6081 7172 4602 5961 103071
1991 14553 7476 22779 2779 4615 8636 7999 13028 15439 3980 5947 22099 129330 
1992 7386 10998 37700 10418 16452 4270 8438 6722 4575 10999 5485 24100 147543
1993 27610 22695 15301 6961 6860 6026 6280 8081 4632 3219 15165 12809 135639 
1994 9707 18377 27370 10953 12350 11709 13810 10765 7324 9094 12516 14576 158551 
1995 21493 20110 12554 17143 12590 14590 12953 11323 5697 11284 11518 6666 157921 
1996 13660 9090 14540 14351 7559 5988 9723 10739 6421 4000 11438 14077 121586
1997 14775 6149 7690 8037 6026 10131 9422 15122 33932 5155 7073 21619 145131 
1998 19360 36055 23421 17221 16990 9731 6677 14264 14107 18051 9149 4781 189807 
1999 16782 15604 13224 27101 16100 17024 25977 5130 20519 12049 16828 16904 203242 
2000 17320 9953 17291 9135 11933 6430 5515 16950 14411 17054 9741 15615 151348 
2001 32797 27750 28123 12835 11885 7153 9418 20113 17704 12079 15086 13373 208316
2002 23270 13458 25133 18581 11998 16605 13242 9550 19922 7908 10449 7821 177937
2003 19333 27812 15496 17530 7499 14691 18711 15902 10784 13274 30537 11050 202619 
2004 32304 33478 19359 33645 11832 8233 12320 16203 16094 22198 22304 39698 267668 
2005 24427 32321 28637 16407 13763 7342 50589 21673 5570 19748 11668 10755 242900 
2006 10482 12115 44816 31190 13252 12931 18153 18810 17050 14696 10960 17168 221623 
2007 19675 20042 17789 18241 14976 15503 14673 13512 20712 11390 13460 33872 213844 
2008 32114 14098 28341 19710 23333 12883 16732 19868 27421 30615 24251 37255 286611  # diff = 10 expected =  286611  got =  286621
2009 20525 47990 25964 34260 27162 17628 21982 26625 26722 24651 22522 36122 332154 
2010 38863 27392 50123 35040 13210 39427 16574 22825 34640 84407 35143 47239 444882 
2011 18397 54100 47739 23124 19144 16756 16605 9405 16942 18864 15790 34141 291009
2012 22835 23397 30091 26044 16989 14653 24703 22006 21762 20459 18988 28682 270609 
2013 34777 26026 33718 23327 19536 16687 30113 32175 33802 38639 30329 27044 346172 
2014 37712 23168 31181 32111 28800 36333 33564 38599 36251 45507 39598 46912 429736 
2015 32924 18937 41763 33555 56964 24715 35928 24800 30569 39234 26291 32199 397879 
2016 43293 40437 49838 55197 43411 29112 34828 24267 32680 17238 21538 30577 422420
2017 23222 30002 35841 31914 33437 22132 26856 23429 16170 16387 31665 32356 323403 # diff = 8 expected =  323403  got =  323411
2018 38599 21462 54203 46028 35037 36257 22788 39821 29514 46123 44060 36012 449903 
2019 36969 35902 30558 24786 25375 19680 18479 21446 31334 35160 50577 27090 357355 
2020 32697 40453 43229 41324 22542 28357 22190 37979 32545 25389 26800 33850 387357 
2021 34585 17170 17423 20365 16259 11477 6976 17016 34653 22074 22956 26415 247368 
