# USBR Lower Colorado Basin Annual reports:  Davis Dam
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964
1965 393200 499700 804100 652700 804900 862300 1012000 981600 725600 520700 297900 180700 7735000 # diff = 400 expected =  7735000  got =  7735400
1966 209900 524800 780900 914500 878200 951700 1027000 965400 723400 478000 359100 355800 8169000 # diff = -300 expected =  8169000  got =  8168700
1967 427500 550900 849200 794000 824700 883200 936600 881800 599300 531400 349700 224300 7853000 # diff = -400 expected =  7853000  got =  7852600
1968 438400 557200 816000 860000 786800 879500 868000 835600 697200 508700 413000 432200 8093000 # diff = -400 expected =  8093000  got =  8092600
1969 345900 585900 851500 855100 781400 816600 893900 882000 602500 543700 326300 425400 7910000 # diff = 200 expected =  7910000  got =  7910200
1970 463700 571600 782200 953400 819800 859100 907800 755000 630600 558400 401500 420700 8124000 # diff = -200 expected =  8124000  got =  812380
1971 448500 599600 922700 888100 781600 849300 999500 744000 651800 505100 418000 438800 8247000
1972 462600 611200 913000 905500 859100 850000 983400 817500 689300 317200 384900 476000 8270000 # diff = -300 expected =  8270000  got =  8269700
1973 488500 412300 709200 944500 828400 820200 957000 838000 756100 596600 421900 448400 8221000 # diff = 100 expected =  8221000  got =  8221100
1974 380200 585000 850400 1032000 875900 925900 982600 972300 772200 528900 339200 415100 8660000 # diff = -300 expected =  8660000  got =  8659700
1975 445900 525800 799500 927000 882600 779700 921100 887200 727400 531400 392100 420300 8240000
1976 423500 426700 953600 904900 830200 810900 888000 939000 454600 410500 287400 459700 7789000
1977 304200 626500 839800 967700 790000 914400 1092000 787800 548600 468400 407900 427300 8175000 # diff = -400 expected =  8175000  got =  8174600
1978 209300 474100 809000 960200 779400 887000 997900 883300 666600 400200 331100 325400 7724000  #  diff = -500 expected =  7724000  got =  7723500
1979 178100 380300 623100 875400 916400 918400 1041000 922700 796800 573400 420000 394800 8040000  #  diff = 400 got sum = 8040400
1980 360000 346000 982000 1246000 1052000 1239000 1220000 1230000 997700 930700 847900 799000 11250000  # diff = 300 expected =  11250000  got =  11256300
1981 512100 518400 821500 1008000 812300 975700 1051000 977900 629300 392800 313100 332400 8344500
1982 382100 573700 760000 1025000 776100 761100 912200 729400 526500 416500 250000 296400 7409000
1983 1127000 438700 579000 1161000 1248000 1741000 2670000 2494000 2356000 2286000 1714000 1562000 19380000
1984 1868000 1750000 1773000 1763000 1812000 2071000 2145000 1916000 1750000 1580000 1606000 1624000 21658000 
1985 1542000 1555000 1407000 1300000 1542000 1643000 1725000 1731000 1434000 1137000 1078000 1273000 17366000  # diff = 1000 got sum = 17367000
1986 1365000 1110000 1526000 1476000 1966000 1741000 1740000 1575000 1406000 1115000 1082000 1331000 17433000 
1987 1411000 1166000 1092000 1006000 927100 966000 1036000 1044000 840400 700500 423500 706800 11319000  #  diff = 300 got sum = 11319300
1988 660000 623500 922700 921100 910400 988400 1149000 992000 719700 548400 485100 507800 9428000  # diff = 100 got sum = 9428100
1989 388700 563900 943600 1087000 926700 982800 1130000 1013000 766200 606800 426400 445700 9281000
1990 407200 573900 922700 983600 978900 1027000 1102000 962200 702600 597400 458800 464600 9180900
1991 379200 514500 683600 889600 926500 973900 1069000 933000 673400 625800 484400 307200 8460100
1992 404900 446200 611400 794400 831800 946100 1020000 744200 591500 589400 487300 386300 7853500 
1993 157600 97600 344000 898900 865800 868400 931100 827400 647800 575400 457300 614900 7286200 
1994 585700 559600 963600 1035000 950900 928900 929500 873300 681600 662000 594400 380900 9145400 
1995 333600 481800 774500 921500 860200 866800 851700 893400 698200 664000 448700 522299 8316700 
1996 577400 705200 1041000 1205000 1175000 1111000 1016000 874300 693900 576200 411700 544800 9931500
1997 768700 1049000 1117000 1167000 1216000 1061000 1085000 1168000 877400 707200 686700 624400 11527400 
1998 1230000 1236000 1189000 1042000 1111000 1038000 1145000 910000 945000 796000 989000 1309000 12940300  #  diff = 300 got sum = 12940000
1999 731000 696000 1018000 1104000 1176000 1087000 968000 892000 931000 1004000 855000 609000 11070300  # diff = 700 got sum = 11071000
2000 651900 756300 1018000 1202000 1188000 1011000 1032000 885400 768500 793700 671500 737900 10716200
2001 650000 828000 932000 1167000 1149000 1119000 1093000 857000 790000 696000 637000 650000 10567500  #  diff = 500 got sum = 10568000
2002 703000 836000 1109000 1175000 1149000 1084000 1061000 967000 826000 666000 642000 602000 10819800
2003 665400 633600 1073000 1217000 1050000 987300 977800 808700 736500 784400 645600 625100 10204400 
2004 671900 787300 1063000 1131000 1142000 1092000 1002000 818200 716600 495100 499000 495300 9913400 
2005 291500 272500 472600 1039000 1031000 980000 1051000 795700 845600 774500 739300 496400 8789100 
2006 595600 628200 797400 971900 1046000 1085000 974700 817600 770900 715700 507000 563600 9473600 
2007 562600 675700 942000 1058000 1054000 1025000 970700 825700 819800 673000 546200 416400 9569100 
2008 559300 739600 1016000 1164000 1054000 988600 957800 859500 730500 686500 669700 396300 9821800 
2009 704500 665800 1085000 1145000 984400 858900 924700 845000 801100 682300 655200 592700 9944600 
2010 501100 465000 919600 951500 1017000 991400 971700 896700 891600 824300 696800 600600 9727300
2011 515200 587700 987200 1060000 941400 954300 961800 832500 734500 646700 510000 426100 9157400
2012 671100 736300 946700 1104000 1001000 973300 812100 765400 777900 641500 509000 398500 9336800
2013 523600 641100 989200 1056000 1005000 955300 828700 773000 713700 816800 577500 515200 9395100 
2014 586800 691600 1108000 1075000 1030000 961600 911600 703100 764400 683100 659900 469900 9645000 
2015 685700 646600 998500 1069000 915400 876700 827500 862200 843000 709400 626100 554000 9614100 
2016 602600 710900 957400 1013000 939000 883300 868600 760600 765400 689000 608000 510400 9308200 
2017 428100 499000 878900 991200 873600 873900 836200 755800 711400 687800 615400 574300 8725600 
2018 446600 613500 834800 1000000 1004000 915800 841200 761500 859000 662800 620500 390400 8950100 
2019 406800 512399 652200 797600 921900 888600 916200 841200 816500 624100 477300 269700 8124499 
2020 389400 522100 557300 900500 1068000 936800 899300 854000 854300 785400 596200 532000 8895300 
2021 481000 547200 892800 994500 1041000 908800 840400 741800 771000 677000 560200 481400 8937100 
