# USBR Lower Colorado Basin Annual reports:  Glen Canyon Dam
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Starts 1990 need 3 years here
1993 783900 638600 597700 592400 592800 613600 896300 927700 661200 532700 613800 795800 8246500 
1994 800600 693800 619200 626000 611400 632500 854900 873500 634400 516400 520000 684500 8067200
1995 756400 654300 604600 633500 625000 981600 1074000 1123000 1085000 906500 856100 905500 10205500
1996 974900 822600 1133000 1112000 1047000 1045000 987600 910700 822500 663100 623800 882900 11025100 
1997 1072000 1238000 1532000 1302000 1290000 1485000 1322000 1261000 1136000 1179000 1190000 1239000 15246000 
1998 1186000 1081000 1182000 797000 898000 1073000 1236000 1296000 1035000 932000 820000 921000 12456500 # error:  diff = 500 got sum = 12457000 /ark/Varuna/USBR_Reports/images/releases/1998.png
1999 909000 808000 819000 727000 1055000 991000 1117000 1176000 1139000 1070000 1068000 1018000 11896300 # error:  diff = 700 got sum = 11897000 /ark/Varuna/USBR_Reports/images/releases/1999.png
2000 808900 652600 657300 918600 1154000 493200 514000 517200 671700 617200 813200 838000 8655900 
2001 856000 653000 655000 616000 613000 588000 808000 825000 460000 607000 610000 802000 8090700
2002 805000 604000 611000 616000 605000 762000 917000 909000 492000 503000 480000 609000 7912600 
2003 794700 723500 794300 606000 661700 860900 919900 923700 484900 499900 482500 613700 8365700
2004 788700 742600 805200 648200 596100 801800 900500 895900 483500 493400 716100 599400 8471400
2005 776745 720028 802770 526100 597081 781520 850106 871894 496488 513656 513831 801357 8251576
2006 800027 800247 601972 602905 601542 801175 828681 827020 536200 606031 602548 800703 8409051
2007 800273 604476 601911 600346 601358 801473 804024 803962 603738 600927 603202 802609 8228299
2008 800644 602286 830227 678427 790191 791309 865320 889590 723342 748639 602952 800571 9123498
2009 802363 601810 625891 603976 582235 664195 802917 802179 598025 619866 691805 901175 8296437 
2010 900478 630501 602349 601915 601342 600984 802463 801694 480189 495480 809825 846584 8173804 
2011 1012000 975900 1046000 962600 1191000 1391000 1502000 1501000 957000 979500 1104000 1226000 13848000
2012 846400 654200 607000 611800 605900 712200 892400 810300 478000 495200 736000 799500 8248900 
2013 800838 599801 601200 550907 601526 799858 847502 800964 600491 481091 680427 600656 7965261 
2014 800322 599471 503514 501685 493263 598253 800029 801049 604195 597939 776770 864375 7940865 
2015 862083 589193 649251 600309 698703 800000 1048221 799328 714102 600242 576911 857318 8795661 
2016 857357 700168 693899 665222 700244 799927 950233 899572 698892 600526 750415 898336 9214791 
2017 880296 710688 722416 622545 652405 749032 850141 900116 663071 640161 630069 739549 8760489 
2018 860328 729769 799985 704833 704682 759959 860160 899988 670423 625308 662272 740067 9017774 
2019 803664 730367 791275 719997 719774 764936 857185 899969 686582 625140 626055 750148 8975092 
2020 759865 675271 699880 630108 628666 649886 749930 833112 602031 640194 640161 718830 8227934 
2021 762776 674512 699651 628112 624102 651036 767074 800983 622041 480605 500091 600478 7811461 
