# USBR Lower Colorado Basin Annual reports:  Parker Dam
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# 1964 No Record
1965 289400 423000 634400 581000 604100 709900 846000 867000 599300 385400 220100 196700 6356000
1966 176600 412900 604100 729300 699000 790400 900700 852300 584800 357500 254500 320200 6682000
1967 305900 430700 677300 608300 648400 725600 835200 749200 490300 434600 247100 169800 6322000
1968 350500 450500 679900 699500 625900 722300 779400 725300 582500 404300 309300 312300 6642000
1969 253900 466600 740000 712400 640600 674400 764600 732900 488000 434100 220100 310300 6438000
1970 366900 442000 653700 750300 657100 705700 792200 674600 530000 453700 303900 328000 6658000 # checked  diff = 100 got sum = 6658100
1971 338600 485800 742700 746000 660600 742900 877500 690000 565400 397100 309300 355500 6911000 # checked  diff = 400 got sum = 6911400
1972 346000 480000 747200 766500 699600 688800 875100 716100 573600 223700 282700 388800 6788000
1973 355300 347600 641600 799700 696400 672900 829100 726100 644000 484000 309600 340400 6847000 # checked:  diff = 300 got sum = 6846700
1974 244500 481400 705000 864200 756100 790600 874300 824500 624500 398800 282000 324700 7171000
1975 362600 447300 690000 795400 769800 693800 825300 802500 650500 476500 336800 359500 7210000
1976 352800 364500 805300 771100 693600 717200 789500 842800 400000 354800 248900 356300 6697000
1977 257600 498500 683000 811600 651900 760300 956200 687600 460300 347800 288100 308500 6711000
1978 136700 397800 692100 849100 678800 762800 905900 791500 573000 360300 269300 270100 6685000
1979 151800 336800 575800 776100 782900 849700 960600 829800 709400 505200 367900 348700 7195000 # error:  diff = 300 got sum = 7194700 /ark/Varuna/USBR_Reports/images/releases/1979.png
1980 304100 386500 1056000 1121000 964000 1145000 1247000 1164000 981600 879300 760100 714700 10720000
1981 462400 453900 697000 869200 676200 829300 942000 881300 563800 326100 234100 293800 7229100
1982 329700 491700 652800 850700 658400 617700 763200 638400 500700 380200 219300 263900 6366700
1983 1007000 401700 591400 1051000 1127000 1613000 2440000 2422000 2266000 2202000 1604000 1473000 18200000
1984 1728000 1657000 1741000 1609000 1662000 1932000 2012000 1835000 1668000 1594000 1499000 1527000 20464000
1985 1522000 1470000 1377000 1209000 1375000 1557000 1609000 1602000 1363000 1055000 998700 1169000 16307000 # error:  diff = 300 got sum = 16306700 /ark/Varuna/USBR_Reports/images/releases/1985.png
1986 1333000 1020000 1428000 1308000 1807000 1636000 1519000 1446000 1294000 1047000 971700 1158000 15968000 # error:  diff = 300 got sum = 15967700 /ark/Varuna/USBR_Reports/images/releases/1986.png
1987 1339000 1057000 937200 806400 737900 792400 857700 861200 702400 562600 348200 558500 9561000 # error:  diff = 500 got sum = 9560500 /ark/Varuna/USBR_Reports/images/releases/1987.png
1988 589100 504100 732800 699400 739100 771400 906500 811500 576600 455200 362300 359600 7508000 # error:  diff = 400 got sum = 7507600 /ark/Varuna/USBR_Reports/images/releases/1988.png
1989 279100 452300 727500 863900 699400 705600 829500 707300 578700 493200 308400 285800 6931000 # error:  diff = 300 got sum = 6930700 /ark/Varuna/USBR_Reports/images/releases/1989.png
1990 281800 464000 678100 782700 778400 800600 843400 719800 557700 503200 365500 351700 7126900
1991 271000 394900 479800 794000 757700 794800 853900 720700 541300 518600 363100 218500 6708300
1992 294400 353300 496900 661000 627300 693300 760300 553800 493700 471300 366100 214000 5985400 
1993 100800 193300 523600 623700 620700 611600 653100 588300 500400 457000 313400 348100 5534000 
1994 352800 422000 670400 813500 718000 768800 790300 714900 549900 490100 339800 255100 6885600 
1995 190200 485100 729600 744000 668000 703800 744500 706400 572700 489600 363700 321100 6718700 
1996 365200 498400 780300 847000 833900 839200 830900 665200 548100 460700 325000 306600 7300500
1997 484300 762700 855300 837800 853700 836000 908200 995100 742600 504700 386300 304300 8471000 
1998 986000 976000 1005000 827000 861000 856000 932000 728000 834000 662000 702000 1013000 10380000 # checked  diff = 2000 got sum = 10382000
1999 596000 477000 693000 734000 826000 837000 820000 697000 796000 858000 617000 403000 8353300
2000 419300 524800 712900 869600 871500 821400 873700 703500 668400 575700 442500 412400 7895700
2001 344000 472000 647000 838000 865000 877000 921000 741000 645000 544000 438000 367000 7699400 # error:  diff = 400 got sum = 7699000 /ark/Varuna/USBR_Reports/images/releases/2001.png
2002 398000 499000 697000 810000 789000 816000 888000 745000 620000 539000 419000 345000 7565400 # error:  diff = 400 got sum = 7565000 /ark/Varuna/USBR_Reports/images/releases/2002.png
2003 388900 382200 760000 821900 737200 760500 805500 664300 663800 600100 366100 352800 7303300 
2004 340400 410100 708500 763100 753400 758100 758200 702200 569200 455300 307200 253900 6779600 
2005 256100 271500 596400 675800 702700 740500 851100 634300 538400 428400 377000 297700 6369900 
2006 359200 433100 599700 713200 737800 736900 718700 623600 538900 450900 353900 326300 6592200 
2007 337300 425900 656500 738700 719900 733800 765800 621700 547100 442900 322500 250800 6562900 
2008 298200 473500 748900 850500 697200 711500 751800 659200 539800 463900 387000 266200 6847700 
