# USBR Lower Colorado Basin Annual reports: California Totals Consumptive Use
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1990 266498 324744 453634 516609 66020 29829 571408 13437 431655 399998 332597 313028 219457 error:  diff = 3500000 got sum = 3719457 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1990_2.png
1991 241041 324619 335624 525419 566052 535167 569464 515508 423150 432526 324300 212725 5005595 
1995 158046 250623 452458 485417 510721 541158 581800 557346 447299 402705 282706 255201 4925480 
Gap from 1991 to 1995
1997 256574 337530 494843 554721 562270 546991 582208 549294 386112 398014 327941 253622 5250119 
Gap from 1995 to 1997
1998 288126 187139 426680 486291 520678 524438 605331 532266 435649 420430 322111 296091 5045228 
1999 275291 288104 457987 495909 562047 542969 533713 512068 438849 432719 339240 315484 5194380 
2000 299147 335657 472281 565920 590723 552780 580433 511463 353023 297296 319426 284064 5162211 
2001 235368 310677 366407 535717 593163 566663 589293 548496 457645 421254 342568 287466 5254718 
2002 289145 339988 459264 537194 576436 555056 615433 567644 444876 368918 335763 275891 5365609 
2003 246971 153644 416174 504884 478069 434218 473590 433069 388474 366376 258372 254905 4408746 
2004 221166 237242 392360 450334 501285 489702 484423 434337 354259 271190 254317 225570 4316185 
2005 100485 132078 337760 473454 511763 523274 537968 422475 428019 349081 314286 213615 434425 error:  diff = 3909833 got sum = 4344258 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/2005_2.png
2006 244984 253322 328403 433337 492627 484064 511635 470465 383406 312303 223065 197687 4335299 
2007 227318 275839 359914 457405 518079 482430 497339 476744 408129 298273 211888 157337 4370695 
2008 213982 286047 416618 504906 506188 475709 500197 444101 373128 344176 252512 181247 4498810 
2009 267120 244172 443569 481260 463414 420202 449168 409533 360987 288152 292636 237860 4358074 
2010 183385 174030 375260 389511 481904 441951 501023 467149 430782 348168 320482 231975 4345620 
2011 218239 188974 409563 467821 484968 478232 520926 489191 404435 299026 196058 155228 4312661 
2012 228158 277273 380935 509205 536664 501715 479910 434609 385103 318617 216935 147594 4416718 
2013 216806 201525 422252 472366 506130 493786 462052 417254 355558 400136 262915 265009 4475789 
2014 263854 251788 415742 481151 523387 493609 506040 408488 383090 370843 305952 245790 4649734 
2015 258934 262979 390407 478782 434775 458893 457516 460369 398263 398916 335176 285746 4620756 
2016 223907 248525 421500 428164 475997 472084 449881 413384 359802 359835 296041 231981 4381101 
2017 154193 183907 337284 399845 417226 438278 428840 392519 326208 362216 296444 289555 4026515 
2018 177404 217310 354906 441875 488852 472247 464248 464815 388710 339339 286089 169730 4265525 
2019 202959 188497 309787 390512 456030 441070 461068 439355 358511 296792 166174 129931 3840686 
2020 157468 179814 217744 369932 490854 476397 471224 419801 377851 357823 284572 256431 4059911 
2021 181235 184504 418449 469090 502162 476717 471768 428707 375258 360112 284082 252643 4404727 
