Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1985 0 0 1,303 1,161 3,805 1,612 3,936 12,541 4,916 2,336 1,110 782 33,502
1986 15 16 1,279 9,584 10,318 16,900 22,349 32,265 14,910 0 0 0 107,636
1987 4,914 10,149 19,595 31,917 33,377 47,197 70,764 67,084 36,344 13,794 6,141 13,289 354,565
1988 9,505 15,644 41,558 34,664 49,828 79,428 108,472 79,301 36,441 13,942 15,714 14,828 499,325
1989 9,209 12,221 68,771 64,615 68,881 118,096 149,093 146,430 65,033 20,369 15,624 20,665 759,007
1990 13,001 16,598 85,551 78,295 78,396 141,290 127,443 119,999 61,708 23,675 17,300 15,798 779,054
1991 1,633 9,157 30,824 41,270 44,077 66,058 96,480 90,494 37,946 13,929 17,106 4,857 453,831
1992 8,242 12,187 20,515 32,964 53,551 86,140 128,755 103,079 40,239 24,950 21,788 59,671 592,081
1993 27,671 4,163 60,176 123,365 115,743 123,354 153,489 117,793 47,001 32,548 55,095 164,402 1,024,800
1994 116,016 43,526 126,251 96,367 90,029 8,467 15,889 12,911 5,931 67,450 128,382 20,379 731,598
1995 69,499 29,724 84,777 105,378 108,952 36,340 27,502 22,799 15,315 65,956 64,562 154,458 785,262
1996 115,401 121,342 182,002 180,921 185,527 151,324 50,248 42,612 33,017 3,126 2,770 127,769 1,196,059
1997 161,966 163,132 161,224 157,190 183,450 89,662 38,007 33,214 13,470 86,466 167,848 158,301 1,413,930
1998 168,153 164,257 131,538 115,892 146,274 138,550 44,500 24,813 18,552 40,236 126,619 108,849 1,228,233
1999 142,781 145,331 166,798 172,951 181,916 114,795 66,948 48,353 18,923 67,333 148,399 113,637 1,388,165
2000 124,569 145,651 170,654 174,981 183,679 71,266 60,169 56,200 42,757 54,881 150,239 189,112 1,424,158
2001 191,422 171,288 176,841 166,901 163,576 132,425 84,689 59,535 55,268 42,012 108,176 170,959 1,523,092
2002 156,600 172,626 196,427 186,294 186,221 160,853 87,924 88,278 70,132 40,086 107,726 128,428 1,581,595
2003 178,610 167,194 188,023 175,595 183,816 143,877 75,528 48,221 54,019 124,815 174,720 170,772 1,685,190
2004 188,167 174,762 185,868 181,151 188,308 165,160 104,043 45,459 70,005 3,447 170,759 173,940 1,651,069
2005 175,165 67,750 21,387 160,159 158,086 95,713 78,622 47,575 79,074 120,131 134,783 60,885 1,199,330
2006 150,827 121,435 90,479 155,462 162,358 172,623 68,380 10,158 98,670 164,521 99,781 132,892 1,427,586
2007 133,727 131,318 171,214 160,808 159,299 148,452 100,014 42,417 134,100 164,060 147,108 118,236 1,610,753
2008 166,725 157,301 167,973 165,730 172,183 126,311 78,041 65,373 93,513 135,834 167,966 64,769 1,561,719
2009 171,343 162,340 180,297 172,325 164,730 93,568 74,956 70,375 143,343 133,109 143,938 149,484 1,659,808
2010 126,294 90,880 128,306 153,154 171,813 170,755 49,808 84,097 170,650 165,628 158,819 182,563 1,652,767
2011 89,029 134,563 186,159 180,434 166,473 154,609 76,895 60,168 101,762 149,410 174,986 150,555 1,625,043
2012 186,564 168,959 187,497 179,531 179,210 129,951 34,437 85,226 136,910 31,581 173,912 132,284 1,626,062
2013 79,888 146,879 179,730 148,444 174,238 129,487 80,301 95,266 149,252 186,039 143,877 137,866 1,651,267
2014 84,467 130,265 176,237 177,897 183,603 133,051 92,532 99,382 140,046 134,799 146,606 131,792 1,630,677
2015 180,492 109,441 146,368 154,414 177,030 77,195 70,484 69,587 167,508 115,253 120,080 130,170 1,518,022
2016 155,980 116,971 122,518 168,623 176,141 88,596 74,494 64,682 133,630 133,167 140,485 117,864 1,493,151
2017 126,924 62,359 136,275 159,848 174,612 79,014 71,258 70,184 134,073 130,498 126,715 143,853 1,415,613
2018 90,163 109,197 138,939 168,400 178,154 87,984 71,609 21,609 164,209 175,602 173,266 143,241 1,522,373
2019 90,530 150,723 82,674 143,769 153,751 103,850 92,195 101,771 160,158 151,035 125,435 71,701 1,427,592
2020 75,318 74,716 94,056 148,297 179,746 103,316 69,322 61,464 164,300 163,523 123,148 145,331 1,402,537
2021 123,894 111,176 148,654 163,175 167,846 86,402 51,780 48,306 106,368 138,794 124,347 87,126 1,357,868
