Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 78,433 72,460 99,990 81,775 105,140 100,585 102,248 99,348 98,626 102,192 95,522 100,379 1,136,698
1965 97,865 71,897 104,794 101,933 105,210 102,214 97,093 105,875 100,009 103,293 99,735 88,140 1,178,058
1966 50,927 63,034 87,617 102,996 108,484 104,709 107,531 107,334 102,440 105,383 100,425 105,302 1,146,182
1967 105,239 88,851 79,701 89,372 96,583 99,547 104,862 108,196 103,966 96,660 102,670 46,986 1,122,633
1968 72,145 75,238 84,793 98,120 109,134 105,766 106,222 108,524 104,251 106,937 102,418 107,979 1,181,527
1969 103,975 92,268 65,376 69,858 89,539 82,628 110,705 110,091 102,157 101,461 97,550 102,967 1,128,575
1970 78,502 97,871 92,515 104,883 109,970 106,837 109,301 105,789 102,971 106,762 94,618 90,334 1,200,353
1971 97,884 82,481 102,276 104,432 107,971 104,139 107,793 107,045 103,799 107,763 103,620 82,797 1,212,000
1972 107,209 100,147 107,934 96,414 109,117 103,494 115,473 113,591 102,879 107,734 97,353 50,655 1,212,000
1973 107,544 67,258 57,922 94,058 108,179 104,851 108,332 107,672 104,473 107,481 104,236 98,134 1,170,140
1974 100,044 44,778 103,356 103,552 107,637 104,316 106,731 106,048 102,098 107,493 53,953 81,782 1,121,788
1975 55,085 53,111 68,495 66,992 79,964 75,476 82,247 80,320 66,446 67,710 40,681 41,968 778,495
1976 48,117 52,310 67,639 68,407 76,949 78,962 93,952 94,015 71,771 51,639 40,023 50,836 794,620
1977 57,895 97,844 114,763 110,509 116,597 113,018 118,001 113,969 89,786 117,528 113,706 116,982 1,280,598
1978 71,435 44,390 64,680 63,462 42,444 62,690 61,898 66,411 63,428 63,514 52,021 57,443 713,816
1979 49,048 39,414 51,804 75,002 86,305 81,950 81,790 81,815 60,692 69,237 67,183 68,368 812,608
1980 52,745 46,435 42,468 68,763 92,762 81,221 81,394 86,939 60,114 75,719 70,758 61,847 821,165
1981 62,456 46,612 57,336 78,616 97,515 84,337 93,356 73,755 78,948 66,651 48,646 42,000 830,228
1982 36,416 38,107 58,148 67,100 101,709 97,088 92,745 87,333 33,222 34,538 31,000 39,130 716,536
1983 80,216 29,125 40,396 59,939 53,189 66,980 100,577 102,415 100,355 93,407 99,509 81,456 907,564
1984 87,162 62,608 106,338 108,686 112,283 109,656 112,942 112,644 109,722 112,869 109,324 92,996 1,237,230
1985 83,859 81,909 104,508 106,863 118,838 111,032 114,020 114,980 108,518 112,734 111,509 104,466 1,273,236
1986 83,252 99,057 109,392 110,652 115,628 110,912 112,603 113,051 110,472 113,480 110,524 114,253 1,303,276
1987 110,272 102,234 106,256 110,555 106,460 111,654 108,318 109,573 109,706 103,546 99,899 103,804 1,282,277
1988 103,115 88,448 103,354 99,686 99,078 101,025 104,548 105,713 93,933 102,042 100,180 102,449 1,203,571
1989 92,520 91,441 99,037 97,278 100,348 96,214 106,952 105,256 104,897 107,457 93,309 109,869 1,204,578
1990 97,563 92,127 100,251 96,223 105,075 102,937 105,041 103,786 102,480 102,395 100,004 110,439 1,218,321
1991 106,398 97,079 102,139 96,969 109,746 104,761 110,195 107,163 104,936 107,462 101,426 107,446 1,255,720
1992 105,206 80,114 80,399 67,553 110,477 106,373 111,106 104,651 105,008 111,585 104,801 110,149 1,197,422
1993 96,127 75,305 55,497 107,767 111,286 107,108 111,885 110,537 108,843 110,613 102,199 110,164 1,207,331
1994 110,894 100,136 111,248 105,869 110,439 106,918 110,324 111,262 109,069 110,177 106,483 110,393 1,303,212
1995 105,094 52,796 69,756 55,351 68,716 89,269 100,747 112,160 109,708 98,960 67,317 67,540 997,414
1996 79,704 82,958 101,481 107,247 112,531 107,548 110,897 113,028 108,548 109,932 97,811 98,668 1,230,353
1997 84,340 71,401 109,542 107,354 111,957 107,547 111,903 111,843 109,305 112,531 106,152 97,946 1,241,821
1998 109,503 73,607 64,205 50,215 62,486 86,048 109,388 110,925 101,467 97,482 107,138 103,831 1,076,295
1999 80,553 65,865 95,155 105,639 110,370 107,321 112,179 109,171 108,242 106,749 102,703 111,277 1,215,224
2000 110,395 103,016 110,734 107,207 111,766 106,455 111,351 111,116 106,475 110,073 105,295 109,265 1,303,148
2001 98,605 97,880 106,470 105,630 109,377 105,988 108,907 109,979 96,830 106,189 105,182 102,542 1,253,579
2002 107,628 98,124 109,414 105,566 109,671 106,214 108,817 111,405 106,218 58,572 109,036 110,423 1,241,088
2003 58,009 6,390 81,919 83,190 53,477 34,569 50,924 62,910 56,943 57,644 66,941 75,127 688,043
# More diversions exchanged with San Diego in 2004-2011, 2004-2005 diverted to storage with CAP?
2004 58,168 56,204 55,576 69,165 65,819 67,778 49,989 41,506 40,190 38,366 95,510 94,824 733,095
2005 767 36,515 16,657 77,392 84,138 102,121 101,079 93,584 92,458 98,151 99,967 36,875 839,704
2006 42,457 35,509 38,658 59,230 73,437 73,909 77,987 84,472 56,190 20,889 10,658 21,148 594,544
2007 44,145 52,675 13,191 69,480 79,316 76,463 56,987 91,007 84,397 21,071 22,980 26,952 638,664
2008 74,333 60,387 39,002 68,858 89,357 86,628 79,912 75,030 74,649 69,110 46,398 57,550 821,212
2009 88,954 70,242 86,646 84,918 88,837 85,815 88,168 88,135 83,783 14,603 95,095 92,299 967,495
2010 87,372 54,322 77,532 31,152 89,995 78,850 95,038 96,124 86,344 90,091 86,104 77,159 950,083
2011 40,138 17,523 54,757 55,355 64,490 74,175 77,208 70,178 64,351 6,673 5,401 11,752 542,001
2012 54,645 49,143 21,531 97,207 100,058 96,743 101,162 100,235 74,027 14,589 14,103 15,574 739,017
2013 57,146 7,378 97,929 84,474 97,143 103,862 100,496 99,033 91,631 98,945 77,244 100,525 1,015,806
2014 100,886 48,534 89,762 104,968 110,487 95,067 105,428 106,116 101,854 105,189 102,029 108,774 1,179,094
2015 104,934 54,259 86,138 104,523 108,699 103,626 107,504 107,286 103,856 102,236 98,027 100,509 1,181,597
2016 96,884 13,000 88,401 92,503 97,213 94,779 99,653 85,106 88,504 79,594 78,314 85,868 999,819
2017 68,003 13,265 24,003 42,451 44,199 57,439 58,044 57,955 55,601 69,368 89,259 100,180 679,767
2018 29,412 12,386 60,965 75,328 86,502 90,959 101,030 99,448 94,717 86,296 85,170 69,631 891,844
2019 87,256 30,770 11,177 27,666 51,179 53,447 58,529 67,254 60,675 30,390 15,577 46,288 540,208
2020 16,841 3,351 42,623 55,422 61,481 93,553 95,238 78,050 91,361 93,756 91,498 95,046 818,220
2021 70,063 0 99,342 101,821 106,984 103,170 105,993 99,981 96,859 99,115 96,384 98,409 1,078,121
