Year	AZ CAWCD	AZ CRIT	AZ GRIC	AZ Delta	AZ Total	MWD	IID	CA Delta	CA Total	NV Delta	NV Total	LB Delta	LB Total
2008	100,000	0	0	100000	100,000	93,569	0	93,569	93,569	400,000	400,000	593,569	593,569
2009	100,000	0	0	0	100,000	145,790	11,400	63,621	157,190	20,410	420,410	84,031	677,600
2010	102,094	0	0	2094	102,094	255,967	6,023	104,800	261,990	30,847	451,257	137,741	815,341
2011	103,050	0	0	956	103,050	434,836	5,842	178,688	440,678	31,415	482,672	211,059	1,026,400
2012	103,050	0	0	0	103,050	579,786	0	139,108	579,786	30,132	512,804	169,240	1,195,640
2013	103,050	0	0	0	103,050	474,063	0	-105,723	474,063	28,247	541,051	-77,476	1,118,164
2014	103,050	0	0	0	103,050	151,161	17,924	-304,978	169,085	23,714	564,765	-281,264	836,900
2015	103,050	0	0	0	103,050	80,405	17,386	-71,294	97,791	-53,742	511,023	-125,036	711,864
2016	103,050	0	0	0	103,050	85,049	30,017	17,275	115,066	20,539	531,562	37,814	749,678
2017	126,800	0	0	23750	126,800	478,628	73,750	437,312	552,378	50,751	582,313	511,813	1,261,491
2018	343,052	0	0	216252	343,052	624,682	73,750	146,054	698,432	118,135	700,448	480,441	1,741,932
2019	362,557	5,647	105,300	130452	473,504	979,460	73,750	354,778	1,053,210	85,465	785,913	570,695	2,312,627
2020	409,733	9,009	180,000	125238	598,742	1,293,029	82,842	322,661	1,375,871	79,828	865,741	527,727	2,840,354
2021	459,192	9,009	216,000	85459	684,201	1,274,243	82,842	-18,786	1,357,085	83,917	949,658	150,590	2,990,944
